candidate,party,receipts,disbursements,ind_contributors
"ALMONORD, VALBRUN",DEM,40761.87,36946.44,20761.87
"AMADOR, ANTONIO",REP,52225,52225,36135
"AMASH, JUSTIN",IND,1160520.21,853517.55,1136836.6
"AMASON, THOMAS MARRION III",REP,0,0,0
"AMATA, AUMUA",REP,75727.21,76126.16,53927.21
"AMATUL-WADUD, TAHIRAH",DEM,0,0,0
"AMODEI, MARK EUGENE",REP,1080122.16,1048739.27,633671
"ANANTATMULA, MANGA MANGA",REP,282152.23,268325.5,259676
"ANDERSON KELLIHER, MARGARET",DEM,0,0,0
"ANDERSON, JARED LYLE",DEM,1652,501.36,790
"ANDERSON, JERAMEY DEWAYNE",DEM,721.92,1237.78,0
"ANDERSON, JUSTIN",REP,80227.41,78767.12,27837.71
"ANDERSON, KATHLEEN",REP,308254.26,308254.26,61010.26
"ANDERSON, ROBERT JON",DEM,63616.76,48015.16,63616.76
"ANDREWS, ALISCIA",REP,1574329.92,1419877.44,1479747.63
"ANDREWS, ROBERT E",DEM,91.33,230,0
"ANDREWS, ROBERT E. MR.",DEM,1192.61,27606.86,0
"ANGELLE, SCOTT MR.",REP,2425.57,2425.57,0
"ANGLE, SHARRON E",REP,5000,5091.85,5000
"ANTHONY, CHARLES",REP,7798.23,6741.99,7698.23
"ANTHONY, NAKIA LACQUERS",DEM,6363,6363,4272
"ANZALONE, JOHN ANTHONY DR.",DEM,0,0,0
"APODACA, ROB",DEM,103762.06,103762.06,37262.06
"APPLEFIELD, DAVID",DEM,269673.64,269673.64,65624.74
"APPLEGATE, DOUGLAS LOREN",DEM,22950,22950,0
"AQUINO, DARREN DIONE MR.",REP,126820.06,84836.48,13423.6
"ARANJO, ROLAND",GRE,2047,2047,20
"ARATA, LARRY V MR. III",DEM,0,0,0
"ARAUJO, HECTOR MR.",DEM,0,0,0
"ARBALLO, PHIL",DEM,5175373.02,5146107.01,5100278
"ARCANGEL, DANIEL R",DEM,0,0,0
"ARCHER, STEVEN",DEM,0,0,0
"ARCHERD, CHARLES WALLACE",REP,996344.78,996344.78,37856
"ARELLANO, SERGIO",REP,0,0,0
"ARENDT, DEVIN M",NPA,0,0,0
"ARENHOLZ, ASHLEY HINSON",REP,5178803.11,5062131.23,4637837.84
"ARKOOSH, VALERIE ANN",DEM,0,0,0
"ARLETT, ROB",REP,0,822.99,0
"ARMENDARIZ-JACKSON, IRENE",REP,171496.53,156171,144487.74
"ARMITAGE, CHRISTOPHER",DEM,149002.98,120224.17,143834.22
"ARMSTRONG, KELLY",REP,1273004.75,1083764.31,441057.19
"ARMSTRONG, KENNETH REED",LIB,20360.41,17053.92,16608.19
"ARMSTRONG, WILLIAM L III",REP,0,0,0
"ARONOFF, PHILLIP ARNOLD",REP,0,57.44,0
"ARORA, HARRY",REP,544.3,544.3,0
"ARPAIO, JOE",REP,2301,43695.16,0
"ARREDONDO-LYNCH, ALMA D.D.S",REP,125770.62,125770.62,38613.26
"ARRINGTON, JODEY COOK",REP,2535447.58,1970964.11,1280358.3
"ARRINGTON, KATHERINE ELIZABETH",REP,2204.05,3168.03,25
"ARVIDSON, ERICH",DEM,6014.95,6014.95,4892
"ASAMOA-CAESAR, KOJO",DEM,194355.24,210928.26,158609.22
"ASHCRAFT, LAUREN",DEM,171589.77,169120.64,168904.76
"ASHE, DAVID BENJAMIN",DEM,0,0,0
"ASHFORD, ANN",DEM,511333.55,511256.01,261399.55
"ASHOOH, RICHARD E",REP,0,0,0
"ASKAR, CASEY",REP,7259691.99,7259535.24,753991.99
"ASSINI, MARK W",REP,0,589.4,0
"ATKINSON, JASON",REP,301114.1,312843.15,300934.1
"AUCHINCLOSS, JAKE",DEM,2873219.33,2415437.25,2445271.63
"AUGUSTSON, ALAN",GRE,306.59,306.59,0
"AUSBROOKS, JIMMY",DEM,1499.69,1501.39,686.5
"AUSTRIA, STEVE C",REP,21796.92,3600,0
"AVERHART, JAMES",DEM,80094.95,78973.24,50849.95
"AVINA, CANDACE MARIE BATES",UNK,25,25,0
"AVOURIS, AARON PATRICK",LIB,1.25,0,0
"AXNE, CINDY",DEM,6294903.05,6294921.24,4412413.21
"AYOTTE, KELLY A",REP,0,58652.59,0
"AYYADURAI, SHIVA DR",REP,1811516.85,1753745.51,755389.39
"AYYAS, SHADI",DEM,87823.39,88467.8,49790.62
"BAAN, ANDY",REP,25755,7186.74,10633
"BABBAGE, LISA NOEL",REP,9726.52,7101.51,8717.2
"BABIN, BRIAN",REP,1359031.83,1310866.02,750704.16
"BACA, JOE",DEM,0,0,0
"BACA, JOE",DEM,0,12311.23,0
"BACELAR, AGATHA",DEM,81751.68,79041.03,72568.78
"BACHMANN, MICHELE",REP,4735.16,90016.85,1475.72
"BACHMANN, MICHELE",REP,4735.16,90016.85,1475.72
"BACON, DONALD J",REP,3790454.61,3755143.73,1878351.43
"BACON, MARY",DEM,25250,25250,4250
"BAER, DAN",DEM,0,245856.56,0
"BAER, DAN",DEM,1677280.74,1639675.73,1379210.87
"BAIKO, KEVIN",REP,4750,4750,250
"BAIRD, BRIAN N.",DEM,19.59,28806.76,0
"BAIRD, JAMES R DR.",REP,371674,233207.62,112069.47
"BAKARI, KAMAU",IAP,7105,6591.33,5605
"BAKER, RICHARD A JR",REP,0,213.07,0
"BALAT, DAVID",REP,0,0,0
"BALDERSON, WILLIAM TROY",REP,2020933.71,1999772.89,850162.02
"BALDINI, JAMES",REP,12991.97,14008.98,7389.46
"BALDWIN, ALISSA",REP,9324.45,3835.84,5844.45
"BALDWIN, TAMMY",DEM,4701211.78,2889701.56,4493502.39
"BALES, ANDREW PETER",REP,14897.01,10470.8,2042.86
"BALKIN, ALEX",DEM,44829.95,44829.95,44826
"BALL, DAN",REP,923.57,2875.47,0
"BALLARD, JACK",DEM,30575,30435.64,26595
"BALLARD, MICHAEL",REP,1725,2998.59,1725
"BALTER, DANA",DEM,3272252.49,3290591.1,2597462.2
"BAMBENEK, JOHN CHRISTIAN",REP,0,0,0
"BANKS, JAMES E HON.",REP,1223958.73,791040.64,533976.19
"BANSAL, KRISHNA K",REP,230293.46,206343.97,162968.38
"BANYAI, CINDY LYN",DEM,214750.44,203430.45,213381.75
"BARBETTA, CONSUELO MARIE",HRP,500,0,0
"BARBOSA, JENNIFER",IND,366684.55,364814.15,364600.12
"BARGE, JOHN D",REP,180726,180726,28226
"BARHAM, JERRY",REP,197815.22,197815.22,555
"BARIA, DAVID WAYNE",DEM,40,9179.78,40
"BARICEVIC, CHARLES JOHN",DEM,0,0,0
"BARKLEY, MICHAEL JAMES MR.",DEM,7792.19,10159.26,9.6
"BARLOW, DAWN",DEM,0,0,0
"BARLOW, EVAN DR.",UN,0,0,0
"BARNES, SANJANETTA",DEM,23609.82,13927.02,23609.82
"BARNETT, CHARLES",DEM,7886.77,7931.77,6749.49
"BARNETT, JOSH",REP,28093,17882.67,22068
"BARNETT, KALI",DEM,606922.34,596810.83,567207.92
"BARNETTE, KATHY",REP,1033900.56,918151.56,929211.39
"BARONESS VON BEHR, IRINA",IND,0,52.31,0
"BARR, GARLAND ANDY",REP,4611245.23,4391220.43,2031020.2
"BARR, REGINA",REP,59697.54,59697.54,50040.99
"BARRAGAN, NANETTE",DEM,1187465.66,727579.45,539266.98
"BARRASSO, JOHN A",REP,1008180.71,844064.26,547166.39
"BARREIRO, BRUNO",REP,1537.29,103742.15,0
"BARRESI, JANET",REP,632956.65,632956.65,130410.65
"BARRETT, DANA",DEM,404625.2,394976.88,392689.34
"BARRETT, ROBERT PAUL MR JR.",REP,35975.39,36409.02,30325.44
"BARRINGTON, MARK",REP,0,0,0
"BARRIS, ROGER",LIB,8196.66,0,0
"BARRO, MARY",DEM,1720.32,1790.89,0
"BARRON, STEPHEN BRADLEY",LIB,112187.45,16601.21,110731.32
"BARSOOM, RAAFAT",REP,9200,3875,200
"BARTEE, TOBEY",DEM,0,1276.02,0
"BARTELL, ELBERT (AL)",REP,7753.87,7821.71,1333.87
"BARTELL, ELBERT(AL)",IND,7753.87,7821.71,1333.87
"BARTHELEMY, MYKEL LYNN",REP,7056,6637.29,7040
"BARTLETT, JOHN",DEM,1041.87,2100,0
"BARTLETT, RICHARD DR. MD",REP,22620.81,22620.81,22620.81
"BARTON, JOE LINUS",REP,25.81,21625.43,0
"BARZEE FLORES, MARY",DEM,18532.1,22855.36,0
"BASARAN, ALPASLAN",DEM,80452,80452,30452
"BASLER, DOUGLAS MICHAEL",REP,22729.8,18521.68,17011
"BASORA, FRANGELL",DEM,11138.08,10673,1715.08
"BASS, CHARLES F.",REP,0,0,0
"BASS, KAREN",DEM,2233947.37,1220422.5,779522.38
"BASS, WILLIAM HENRY MR. JR",NPA,0,133,0
"BASSILIAN, RON",REP,0,0,0
"BATCH, BRANDON",REP,235492.6,234394.06,235492.6
"BATES, DON JR",REP,0,0,0
"BATES, DON JR",REP,0,0,0
"BAUCUS, MAX",DEM,12665.34,304279.93,0
"BAUER, MARK ANDREW",IND,26341.78,26541.78,4419.46
"BAUGH, SCOTT",REP,59503.16,123711.47,57700
"BAUTISTA-JONES, JUSTIN",DEM,27974.74,6958.55,27974.74
"BAXTER, RALPH",DEM,0,16929,0
"BAYH, EVAN",DEM,-65780.97,21602.89,0
"BEACH, BRANDON",REP,558132.19,558132.19,517732.19
"BEACH, CARL",DEM,8591.85,8591.85,8591.85
"BEAL, BRENT",DEM,211.83,942.27,211.83
"BEALE, ANTHONY A",DEM,0,0,0
"BEALS, JEFFREY",DEM,777.99,9807.4,0
"BEARDSLEY, MICHAEL GRANT",DEM,10116.52,11227.28,6716.52
"BEATTY, JOYCE",DEM,2238648.69,2551301.54,686733.4
"BEAUMONT, PAUL",REP,11644.88,9711.98,8942
"BECCHI, ROSEMARY",REP,1698564.62,1697769.2,912221.11
"BECERRA, XAVIER",DEM,40476.73,28366.75,0
"BECH, NATHAN ALEXANDER",REP,0,0,0
"BECKER, MATT",REP,84539.03,118631.31,73130
"BECKSTRAND, DANIEL",DEM,8363.61,8792.28,3438.61
"BECKWITH, MICAH",REP,153290.74,146456.38,151225.07
"BEDONIE, KAREN E.",REP,42144.28,42376.67,37619.28
"BEEHLER, MICHAEL E.",REP,99073.29,99073.29,59888
"BEELER, JEFFREY ALLEN SR.",REP,61969.54,62279.24,59225.72
"BEHRMAN, DAN TAXATION IS THEFT",LIB,50043888.1,50043888.1,10526.25
"BEILER, CHET",REP,0,0,0
"BELL, ADRIENNE",DEM,248995.11,245174.73,228233.27
"BELL, JAROME",REP,260703.9,260272.32,255609.44
"BELL, JEFFREY",REP,0,115.17,0
"BELL, JENNIFER ANN",DEM,9317.38,9283.94,400
"BELL, ROBERT CHRISTOPHER MR.",DEM,399244.98,396922.71,375828.79
"BELLAR, BARBARA RUTH DR.",REP,5050.75,1349,0
"BELLAVIA, DAVID GREGORY",REP,0,6504.7,0
"BELLOWS, SHENNA",DEM,0,5692.57,0
"BELSITO, JAMIE MARIE ZAHLAWAY",DEM,94453.43,94453.43,81564.71
"BELTON, SAMMY",IND,7181.63,7181.63,0
"BELVIN, KENNETH LEWIS III",DEM,3575.41,4936.76,3575.41
"BEN DAVID, MERAV",DEM,559626.26,545348.26,539444.86
"BENACQUISTO, LIZBETH",REP,0,4981.36,0
"BENJAMIN, LEON MR. SR.",REP,546613.56,524688.86,524083.72
"BENNET, MICHAEL F.",DEM,7524650.33,7520785.96,6795438.72
"BENNET, MICHAEL F.",DEM,756117.67,1757841.82,635839.41
"BENNETT, ADRIENNE",REP,227047.1,225374.4,190284.04
"BENNETT, ASHLEY",DEM,9309,9334,9159
"BENNETT, DOUGLAS R 1963",REP,4598.21,5009.97,0
"BENNETT, KEN",REP,0,0,0
"BENNETT, LYNDA",REP,521373.59,520407.5,340402.33
"BENNO, AMEER",REP,0,0,0
"BENTIVOLIO, KERRY",REP,134789.74,135443.57,83702.19
"BENTZ, CLIFF",REP,1452634.25,1363581.04,1038477.98
"BENZEL, JULIANNE ELIZABETH MRS.",REP,120607.86,105099.39,89382.87
"BENZEL, JULIANNE ELIZABETH MRS.",REP,120607.86,105099.39,89382.87
"BERA, AMERISH",DEM,1830740.69,1126435.93,960938.64
"BERGER, PHILIP EDWARD JR",REP,11350,11772.51,0
"BERGHOEF, BRYAN",DEM,751623.64,669911.7,722764.71
"BERGMAN, JOHN",REP,1985526.54,1850480.65,937138.98
"BERGMANN, CHARLOTTE",REP,102449.89,103835.11,43997.68
"BERINA, COURTNEY JAMES",DEM,2868.63,4368.84,2868.63
"BERNSTEIN, CATHY",REP,49974.75,28384.03,47804.96
"BERO, MAXWELL A",DEM,6016.98,4335.53,5906.98
"BERRY, JOEY",IND,0,0,0
"BERRYHILL, JAMES MR.",REP,107111,73773.03,87111
"BETANCOURT, ISMAEL JR.",DEM,0,0,0
"BETHEL JR, LANDER LOUIS",DEM,0,55.8,0
"BETTS, NICHOLAS",DEM,59690.44,57705.36,45729.99
"BEW, RICHARD",DEM,236573.97,236573.97,215190.4
"BEYER, DONALD STERNOFF HONORABLE JR.",DEM,1735398.35,2077822.52,1068753.5
"BHUMITRA, ARUN K",REP,5000,17.53,0
"BICE, STEPHANIE",REP,3779470.46,3567879.35,3009931.21
"BICKELMEYER, MICHAEL",REP,485,238,25
"BIDEN, JOSEPH R JR",DEM,1074179976.03,1073919500.66,823098083.37
"BIERSCHWALE, VIRGIL",REP,4009,263.38,2094
"BIERY, DAVID",IND,5,0,5
"BIESINGER, CHRIS",REP,44200,44200,39700
"BIGGAN, JOHN DR.",DEM,78547.02,74547.02,43462.55
"BIGGS, ANDY MR.",REP,1704233.12,1338431.77,1312957.5
"BILIRAKIS, GUS M",REP,1609445.83,1553942.14,822762.45
"BILLIE, JOSEPH MICHAEL",REP,3112.26,0,3112.26
"BILLINGS, DYLAN DR.",DEM,4568.33,4471.32,4166.75
"BILLIOT, BERYL MR",NOP,6374.6,6374.6,25
"BILLS, KURT PATRICK",REP,1270.61,239.4,0
"BILLUPS, WILLIE KAILAWN",REP,3300,2764.16,3300
"BIRD, STONEWALL (STONEY) JACKSON",GRE,4.43,2894.78,0
"BIRKENSTOCK, VERONICA",REP,0,1111.38,0
"BIRMAN, IGOR A",REP,58,58,0
"BISH, CHRISTINE",REP,45503.96,45285.82,11825.37
"BISHOP, BOB",REP,0,0,0
"BISHOP, JAMES DANIEL",REP,4411122.74,4350726.69,3095215.22
"BISHOP, MIKE",REP,48325.01,90105.87,0
"BISHOP, ROBERT",REP,173.34,314275.07,0
"BISHOP, SANFORD",DEM,1556370.74,1456259.17,380971.01
"BITTAY-D'INTINO, CARRIE RN",DEM,0,0,0
"BIZON, KIMBERLY ANN",DEM,41438.35,41245.65,28831.89
"BJORKMAN, TIMOTHY W MR.",DEM,1658.22,4654.05,0
"BLACK, DEAN A",REP,0,0,0
"BLACK, DIANE L MRS.",REP,0,-2582,0
"BLACKBURN, MARSHA MRS.",REP,1974716.37,907918.5,1386678.19
"BLACKBURN, MARSHA MRS.",REP,1974716.37,907918.5,1386678.19
"BLAIR, JOHN",DEM,426865.98,424609.8,411397.98
"BLAKE, MICHAEL ALEXANDER",DEM,1006403.24,1006266.53,932169.99
"BLANCO, OMAR",REP,186037.9,186037.9,176037.9
"BLAND, SCOTT",REP,181705.7,181705.7,139759.36
"BLANKENBEKER, LYNNE",REP,134454.03,134999.46,105543.1
"BLANKENSHIP, DON",CON,83880.2,83880.2,5905.2
"BLANKENSHIP, SETH BRADEN",REP,0,134.48,0
"BLEDSOE, WILLIAM DAVID DVM",CON,0,0,0
"BLESDOE DVM, WILLIAM D",REP,0,0,0
"BLEVINS, KENNETH",LIB,1505.19,3651.33,100
"BLEVINS, RYAN",DEM,6373.59,6275.89,5594.47
"BLIATOUT, BOBBY",DEM,712616.17,712616.17,286763.05
"BLOOMBERG, MICHAEL R.",DEM,1124592944.73,1121170037.27,914487.06
"BLUEMING JR, MICHAEL JOESPH",REP,20937.13,20937.13,20264.64
"BLUEMLING, MICHAEL JOSEPH JR",REP,5430.83,6265.95,5405
"BLUM, RODNEY",REP,22733.44,19426.66,615.06
"BLUMENAUER, EARL",DEM,1828860.71,1963949.31,722650.24
"BLUMENTHAL, RICHARD",DEM,1375463.49,637169.67,1126517.71
"BLUNDO, LEO",REP,59244.07,57973.2,58060.5
"BLUNT ROCHESTER, LISA",DEM,2046187.4,1327603.95,886012.24
"BLUNT, ROY",REP,2044175.33,945800.27,1204311.4
"BOATMAN, R J",REP,190580.08,190388.45,106440.3
"BOATNER, JOHN BURKE JR",DEM,0,0,0
"BOEBERT, LAUREN",REP,2989469.89,2632675.56,2692590.92
"BOEDEKER, DARWIN",REP,9535.3,9863.5,6985.3
"BOERIO, BIBIANA",DEM,85.8,23722.69,0
"BOGNET, JIM",REP,1540748.56,1407261.66,1164307.75
"BOICE, COURT",REP,300,0,0
"BOLA?OS SCOW, ADAM",DEM,122626.62,122626.63,113661.62
"BOLDUC, DONALD C.",REP,1076113.8,1043933.29,1057358.36
"BOLLIER, BARBARA",DEM,29004665,28841685.03,27023007.79
"BOLLING, SHANE",REP,13657.96,13657.96,8226.99
"BOLZ, KATE",DEM,1149035.36,1145896.56,1076352.36
"BONAMICI, SUZANNE",DEM,961897.39,867300.6,401897.39
"BONNER, JAY ALAN",NNE,0,89.34,0
"BONNER, JUSTIN",DEM,691.76,691.76,549.2
"BOOKER, CORY A.",DEM,26085174.12,26031543.79,22807437.91
"BOOKER, CORY A.",DEM,8290750.95,6539134.14,5317701.42
"BOOR, MATTHEW",DEM,10925,7061.44,9925
"BOOTH, DOUGLAS JAMES",DEM,15666.63,15666.63,15277.63
"BOOZMAN, SEN. JOHN",REP,700984.03,291255.46,218411.8
"BOREN, DAVID DANIEL",DEM,187973.9,232583.99,0
"BORGIA, CHRIS",NNE,0,0,0
"BORGLUM, SCYLLER",REP,64344.72,64344.72,33017.67
"BOROM, MELISSA",DEM,68499.61,68499.61,57499.61
"BOROUGHS, ADAIR FORD",DEM,2537935.85,2535073.49,2462660.85
"BORRELLI, TAMBORINE",IND,68.64,0,0
"BOSER, SUSAN",DEM,1176.74,0,1176.74
"BOSON, DONOVAN",DEM,4085,3707.81,1535
"BOST, MICHAEL",REP,1948780.91,1540312.3,748480.91
"BOSWORTH, ANNETTE DR",REP,0,0,0
"BOURDEAUX, CAROLYN",DEM,5303913.83,5331899.54,4476197.06
"BOURGEOIS, JOHN PAUL",NNE,3500,3400,3500
"BOVILLE, BRUCE BINTLIFF",DEM,2000,2000,0
"BOWMAN, JAMAAL",DEM,2915373.03,2837899.07,2738842.43
"BOYD, MOSEMARIE DORA (""MOSIE"")",DEM,24112.84,24178.09,5709.11
"BOYD, SAMUEL GRAHAM MR",REP,81712.09,70508.89,65925
"BOYDA, NANCY E",DEM,15995.6,15438.63,14926.76
"BOYINGTON, MARCOS DAVID CARDOSO",DEM,127.26,0,127.26
"BOYLAN, LINDSEY",DEM,1149317.75,1049786.14,730863.46
"BOYLE, BRENDAN F",DEM,1560584.3,760250.39,405496.91
"BRADDY, ED",REP,4117.53,4117.53,4117.53
"BRADFORD, DAPHNE",DEM,59,0,59
"BRADFORD, DAPHNE DENISE",DEM,59,0,59
"BRADFORD, SCOTT",IND,325,300.94,75
"BRADLEY, JAMES P.",REP,100849.8,100974.8,82319.28
"BRADLEY, JAMES P.",REP,7087.53,3434.37,1605
"BRADSHAW, MARQUITA",DEM,1628980.09,1612771.13,1564486.33
"BRADSHAW, MATTHEW EMBRY",IND,5410.95,5311.95,1543.25
"BRADY, HELEN",REP,28633.2,24135.31,21583.2
"BRADY, KEVIN",REP,3580511.92,3200482.04,671128.82
"BRADY, ROBERT A",DEM,21139.08,24865.12,0
"BRAINARD, CHRISTOPHER",REP,101225.45,101225.45,0
"BRAKEY, ERIC",REP,855398.9,849725.83,836319.07
"BRAKEY, ERIC",REP,723.98,1336.42,0
"BRANCH, TALMADGE",DEM,93540,93290,78200
"BRANNON, GREGORY",REP,0,0,0
"BRANNON, MARY",DEM,2956.44,6638.97,140
"BRANSCUM, SAMUEL RAY",DEM,830,729.94,225
"BRAT, DAVID ALAN",REP,8376.75,59149.37,2.54
"BRAUN, MIKE",REP,975720.41,496631.05,382187.78
"BRAUN, STEVEN J",REP,46600,46600,6600
"BRAVO, JEREMY JOHN",DEM,9470,9470,5470
"BRAY, DIANA",DEM,92354.51,88173.09,74614.2
"BREDESEN, PHILIP",DEM,658.63,160654.46,0
"BREWSTER, BILLY JOEL",REP,21950,16762.63,850
"BREYMAN, CYNTHIA JEAN MRS.",REP,19292.73,19792.73,3500
"BRIAN, LEE ANDREA MS",REP,141.49,184.54,0
"BRIDENSTINE, JAMES FREDERICK",REP,143.42,7473.1,0
"BRIER, THOMAS F JR",DEM,670965.37,669223.23,639606.08
"BRIGHT, LEE",REP,0,989.27,0
"BRILL, DAVID H",DEM,0,0,0
"BRINDISI, ANTHONY",DEM,6149102.8,5901341.91,3958651.83
"BRINKLEY, DAVID ROSS",REP,0,12,0
"BRINKMAN, THOMAS E",REP,0,0,0
"BRIONES, HEIDI",DEM,24778.93,22729.76,24778.93
"BRISCOE, JOHN",REP,65302.36,61538.47,2928.45
"BRITT, ELYSABETH",DEM,2000,97,0
"BRITTAIN, CRAIG R",REP,3075.68,0,3075.68
"BRITTON, LEONARD WHEELER",REP,0,238.79,0
"BRIZZI, CARL JOSEPH",REP,188973.69,188973.69,67521
"BROAD, ADAM",DEM,7625.66,7625.66,7198.71
"BROADY, FLYNN D. JR.",DEM,321,206.99,321
"BROCK, MARTHA MONTGOMERY MS.",DEM,334,334,0
"BRODERICK, JONIA MARIE",OTH,21393.59,21265.2,19910.83
"BROIHIER, MICHAEL GEORGE",DEM,620196.93,620196.93,596630.79
"BROLLEY, MATT",DEM,0,0,0
"BROOKS II, JOHN L",DEM,12000,6500,0
"BROOKS, CLAYTON W III",DEM,35589.89,25786.53,33020
"BROOKS, DORIS FLORES",REP,5600,17284.34,0
"BROOKS, JANIS C DR",DEM,6223.73,5733.54,234
"BROOKS, JANIS C REV DR",DEM,6223.73,5733.54,234
"BROOKS, MO",REP,669026.33,223706.66,417354.83
"BROOKS, MO",REP,669026.33,223706.66,417354.83
"BROOKS, NATISHA",REP,4767.18,4323.23,2185.08
"BROOKS, SUSAN MRS.",REP,231563.52,633755.68,73034.53
"BROUN, PAUL",REP,199267,199234.88,166247
"BROWN II, STEPHEN KEITH",DEM,0,0,0
"BROWN, AJA",DEM,2500,3359.74,2500
"BROWN, ALVIN",DEM,1800,0,0
"BROWN, ANTHONY",DEM,1455776.69,855967.78,583434.23
"BROWN, AUDRA LEE",REP,12964.93,12964.93,10121.53
"BROWN, BRANDON PENDARVIS",DEM,0,193.66,0
"BROWN, CAROLE DOMINGUIN",DEM,36779.19,36779.19,3375
"BROWN, CHANCE",DEM,166.8,167,166.8
"BROWN, CHRISTINE CAROL",DEM,12.7,7138.04,0
"BROWN, DAVID WILSON",DEM,61596.06,60667.5,56557.51
"BROWN, HENRY E. JR.",REP,0,75017.59,0
"BROWN, JAMES E",REP,0,0,0
"BROWN, LEIGH",REP,409892.99,365134.66,398892.99
"BROWN, LISA",DEM,137309.06,83703.09,0
"BROWN, MAURICUS",DEM,487658.58,484305.45,456987.78
"BROWN, RONALD MR",IAP,1750,0,1750
"BROWN, SAKIMA",REP,30.12,9974.84,10
"BROWN, SHAUN DENISE",DEM,-674132.5,-674157.5,25
"BROWN, SHERROD",DEM,2479979.82,1687581.11,2099797.82
"BROWN, SHONTEL M",DEM,40132.75,503.99,35632.75
"BROWN, STEPHEN H MR",REP,0,0,0
"BROWN, TED MR.",LIB,3040.73,3040.75,232.77
"BROWN, THOMAS WILLIAM JR.",REP,22950,22417.46,5000
"BROWNING, DEAN NAPIER",REP,409880.6,407383.22,183880.6
"BROWNING, KATE M.",DEM,0,0,0
"BROWNLEY, JULIA",DEM,2013696.47,1351678.67,1138094.93
"BROYLES, ABBY",DEM,2089401.41,2062803.89,2001852.15
"BRUUN, BECH",REP,0,120,0
"BRYAN, PAT",DEM,0,0,0
"BRYANT, SHELIA",DEM,71524.67,57010.67,30024.67
