candidate,party,receipts,disbursements,ind_contributors
"AUMAN, JAMES LEE",DEM,70425.87,77551.69,61160.87
"AUSTIN, ANTHONY TONY",DEM,655,644.47,525
"AUSTINSON, JOHN WAYNE",DEM,20200.14,20200.14,5818.25
"AUSTRIA, STEVE C",REP,1452.27,6300,0
"AUXIER, RANDY",GRE,14979.2,16655.55,13949.75
"AXNE, CINDY",DEM,5243411.69,5223872.91,4234207.41
"AYCOX, KEVIN MICHAEL",DEM,10502.75,11194.9,7002.75
"AYERS, CYNTHIA ELLEN",REP,36855,33786,8855
"AYOTTE, KELLY A",REP,62422,101203.39,-20
"AYYADURAI, SHIVA  DR",IND,5008571.13,5008220.41,201503.23
"BAAKE, DAVID",DEM,78982.99,78982.99,75932.38
"BABEU, PAUL RAYMOND",REP,236.07,755.13,0
"BABIN, BRIAN",REP,1183030.9,1000300.37,621578.18
"BABINEC, MARTIN",IND,0,0,0
"BACA, JOE",DEM,0,0,0
"BACA, JOE",DEM,45794.6,43808.01,34395.6
"BACHER, STEVE",DEM,54625.86,54435.01,42025.86
"BACHMANN, MICHELE",REP,38772.39,80171.51,4.95
"BACHMANN, MICHELE",REP,21272.39,62671.51,4.95
"BACON, DONALD J",REP,2619423.56,2600431.85,1007221.36
"BACON, KEVIN",REP,322796.69,322796.69,273342.84
"BADEY, GEORGE J. III",DEM,305090.26,305090.26,0
"BAER, DAN",DEM,370997,125140.44,370997
"BAER, LAUREN",DEM,4603075.18,4599912.62,4064739.36
"BAILEY, THOMAS AARON",LIB,5855,5677,5642
"BAIRD, BRIAN N.",DEM,56,54693.57,0
"BAIRD, JAMES R PHD",REP,565344.82,455543.31,153846.52
"BAKER, RICHARD A JR",REP,7.04,50,0
"BAKER, TERRY",REP,0,0,0
"BALAGUER, ARIADNA",REP,59431,59431,3981
"BALAT, DAVID",REP,180021.54,180021.54,93022.28
"BALCHUNIS, MARY ELLEN",DEM,7405,9146,7405
"BALDENEGRO, WENONA RAE BENALLY",DEM,0,0,0
"BALDERSON, TROY",REP,2543070.4,2521180.88,1442473.18
"BALDWIN, TAMMY",DEM,27758852.65,28706579.25,24231447.78
"BALL, DAN",REP,19259,17307.1,19259
"BALL, GORDON",DEM,0,0,0
"BALL, JODY",REP,0,0,0
"BALLOCK, THOMAS",W,122,0,0
"BALTER, DANA",DEM,2735634.41,2711648.99,2347956.38
"BANKS, JAMES E",REP,996926.15,1129677.09,455743.17
"BANNISTER, WALTER RANDALL DR.",REP,0,0,0
"BANYAS, MICKIE LOU",REP,8639.4,7351.38,5807.2
"BARASH, YONA",REP,321947.52,321947.52,174331.5
"BARIA, DAVID WAYNE",DEM,904539.22,876607.37,871838.22
"BARICEVIC, CHARLES JOHN",DEM,1817.04,14361.25,0
"BARKELY, DEAN MALCOLM",IND,0,0,0
"BARKLEY, MICHAEL JAMES",DEM,48734.3,13840.37,2236.14
"BARKSDALE, JAMES FREEMAN",DEM,19115,28559,0
"BARLETTA, LOU",REP,7508783.74,7867336.65,6221241.84
"BARLETTA, LOU",REP,7407078.74,7760181.65,6220106.84
"BARLOW, DAWN",DEM,44570.15,43317.14,20040.32
"BARNETT, CHARLES RAND",DEM,8648.26,8696.26,0
"BARNEY, SEAN",DEM,0.17,777.75,0
"BARNHART, RACHEL",DEM,34613.05,24686.73,33506.48
"BARONESS VON BEHR, IRINA",REP,21989.38,21937.07,1020
"BARR, GARLAND ANDY",REP,5310224.59,5652125.05,2807899.34
"BARRAGAN, NANETTE",DEM,1552663.82,975363.82,993090.76
"BARRASSO, JOHN A",REP,5667279.48,4458971.93,2835749.77
"BARREIRO, BRUNO",REP,578578,476373.14,576578
"BARRERA, RAUL (ROY)",DEM,12296.18,10202.04,7696.18
"BARRETT, CHARLES DANIEL",REP,0,0,0
"BARRETT, MICHAEL",LIB,0,0,0
"BARRINGTON, MARK",REP,54976.96,54976.96,54251.96
"BARRIS, ROGER",LIB,26310.9,34507.56,825
"BARRO, MARY",DEM,12509.54,12438.97,654
"BARRON, BILL",IND,0.04,653,0
"BARRON, WILLIAM CURRIE",UN,0.04,653,0
"BARROW, JOHN J.",DEM,0,57374.33,0
"BARSOOM, RAAFAT",REP,0,2000,0
"BARTEE, TOBEY BERNARD",DEM,5268.66,19068.59,5268.66
"BARTLETT, JOHN",DEM,286699.81,87624.4,253699.91
"BARTLEY, LORI ANITA MRS.",IND,0,0,0
"BARTON, JOE LINUS",REP,498117.07,897847.9,232383
"BARTOS, JEFFREY A",REP,1312822,1312822,722698
"BARZEE FLORES, MARY",DEM,2198498.23,2192832.69,2037426.39
"BASIAGO, ANDREW DANIEL",IND,0,0,0
"BASLER, DOUGLAS MICHAEL",REP,4585,4034.71,4585
"BASS, CHARLES F.",REP,0,0,0
"BASS, KAREN",DEM,896504.23,829565.75,505639.21
"BASS, WILLIAM HENRY MR. JR",NPA,20295.79,20078.33,14681.72
"BASSILIAN, RON",REP,10387.55,10147.97,6127.55
"BATES, DON JR",REP,0,0,0
"BATES, DON JR",REP,0,0,0
"BATESON, REGINA",DEM,804901.59,804901.59,794000.5
"BATIE, RONTEL",DEM,18835,18518,18835
"BATTISTA, LISA",DEM,7028.37,1840.64,6503.58
"BAUCUM, RALPH W DR III",REP,30642.19,31500.48,0
"BAUCUS, MAX",DEM,19012.67,147264.98,0
"BAUER, ANDRE",REP,0,0,0
"BAUGH, SCOTT",REP,730425.61,1214645.48,692899.17
"BAXTER, RALPH",DEM,652981.25,636052.25,379956.79
"BAYH, EVAN",DEM,386616.31,164463,200
"BEAL, BRENT",DEM,76235.51,75568.28,64676.85
"BEALE, ANTHONY A",DEM,0,0,0
"BEALS, JEFFREY",DEM,379263.93,370234.52,312886.96
"BEATTY, JOYCE",DEM,1118749.14,794099.15,289289.94
"BEAUREGARD, PIERRE VOTEAU",DEM,38245.93,38243.51,13045.93
"BECERRA, XAVIER",DEM,50778.8,121872.08,226.28
"BECH, NATHAN ALEXANDER",REP,0,0,0
"BECK, TOBI",DEM,120052.37,119335.44,97735.95
"BECKER, FRANCIS X. JR.",REP,0,90,0
"BEDELL, EILEEN MCNEIL",DEM,41819.26,37136.19,31549.26
"BEDOLLA, MATEO MORELOS",DEM,440.13,440.13,340.13
"BEEBE, JAMES WESLEY DR",IND,0,0,0
"BEELER, JEFFREY ALLEN SR",REP,23157.67,18808.39,20905
"BEEMAN, EBERT GORDAN",LIB,28930,28930,4830
"BEILER, CHET",REP,403867,402918.09,11675
"BELL, ADAM CLR NATION",DEM,206193.33,210279.34,31193.33
"BELL, ADRIENNE",DEM,211626.33,206526.16,187345.75
"BELL, BARRY",REP,5620.41,4274.41,2620.41
"BELL, DOUGLAS ANTHONY",REP,175,223.63,25
"BELL, JEFFREY",REP,5789.06,5747.84,1125
"BELL, ROBERT (BOB) CAPT",REP,0,0,0
"BELLAMY, TERRY M",DEM,1000,1000,0
"BELLAVIA, DAVID GREGORY",REP,0,0,0
"BELLE, ANITA E",GRE,4596,223,201
"BELLOWS, SHENNA",DEM,411,5496.53,0
"BELOTE, DAVE",DEM,192065.13,192065.13,189765.13
"BENAC, DAVID T DR II",DEM,90193.22,91798.14,83388.83
"BENACQUISTO, LIZBETH",REP,0,0,0
"BENDER, TYLER",OTH,370,70.61,270
"BENFER, WILLIAM R MR.",UN,40,530.53,40
"BENISHEK, DANIEL J.",REP,0,42996.35,0
"BENNET, MICHAEL F",DEM,775877.14,959148.21,399548.08
"BENNETT, DOUGLAS R 1963",REP,293997.58,291510.64,150421
"BENNETT, JAMES MCKAY",UNK,19190,21304.84,19190
"BENNETT, KEN",REP,2500,143.94,2500
"BENNETT, LUANN",DEM,40429.38,40913.86,0
"BENNETT, RICHARD A",REP,0,0,0
"BENNO, AMEER",REP,50169,50315.21,29869
"BENTIVOLIO, KERRY",REP,37273.54,34656.38,35213.54
"BENTLEY, ROBERT",REP,110,50,0.9
"BEQUETTE, DAVID ALLAN",DEM,14684.25,14684.25,14681
"BERA, AMERISH",DEM,2960892.11,1769089.63,1763403.73
"BERGER, PHILIP EDWARD JR",REP,0,0,0
"BERGMAN, JOHN",REP,1436573.74,1446153.35,699775.56
"BERGMANN, CHARLOTTE",REP,74193.31,72217.79,71541.75
"BERNAL, BENITO BENNY",REP,8428,8476,3750
"BERNIER, JUSTIN",REP,0,0,0
"BERRIOS, JOCELINE MS.",NPA,11175,11175,2675
"BERRY, JOEY",LIB,0,0,0
"BERSHAD, IRA MR.",DEM,11252.02,11197.48,11252.02
"BERUFF, CARLOS",REP,0,0,0
"BETHEL JR, LANDER LOUIS",DEM,21667.2,20826.04,19225.6
"BEVENS, MATTHEW RYAN",REP,16100.82,11163.33,6100.82
"BEY, NIKOLAY N",REP,0,0,0
"BEYER, DONALD STERNOFF HONORABLE JR.",DEM,2085899.43,1831271.73,1320684.18
"BHUIYAN, MOHAMMAD ALI",REP,35035,33889.09,27315
"BHUMITRA, ARUN K",REP,70667,70667,14005
"BIBLE, CARL ALEXANDER",IND,5663,5662,391
"BICKELMEYER, MICHAEL",REP,455,434,2
"BIEDA, STEVEN",DEM,139417.92,139417.92,129725.92
"BIGGAN, JOHN",DEM,86564.64,86564.64,63328
"BIGGINS, JULIA ELIZABETH DR.",DEM,112430.52,112430.52,72229.85
"BIGGS, ANDY MR.",UNK,789616.16,552967.73,330436.59
"BILIRAKIS, GUS M",REP,2026202.94,2097991.8,1055384.47
"BILLIE, JOSEPH MICHAEL",REP,1082,976.77,1082
"BILLS, KURT PATRICK",REP,0,473.7,0
"BILLUPS, WILLIE KAILAWN",REP,59561.06,60062.25,50111.06
"BIRD, STONEWALL (STONEY) JACKSON",GRE,5266.12,2336.64,4924.73
"BIRKENSTOCK, VERONICA",REP,193718.19,192136.87,75484.89
"BIRMAN, IGOR A",REP,27645.04,27546.22,0
"BISHOP, BOB",REP,0,0,0
"BISHOP, MIKE",REP,3405814.79,3395329.77,1341122.85
"BISHOP, ROBERT",REP,1202661.11,1043801.42,631353.36
"BISHOP, ROBERT BOB GRIMES",DEM,29908,28757,2720
"BISHOP, SANFORD D",DEM,1169113.46,1273000.02,220701.3
"BISHOP, TIMOTHY",DEM,0,8130.62,0
"BIZON, KIMBERLY ANN",DEM,72150.2,49295.47,43944.25
"BJORKMAN, TIMOTHY W MR.",DEM,875434.85,872439.02,717434.92
"BJORN, ARIK",DEM,0,297.49,0
"BLACK, DEAN A",REP,0,0,0
"BLACK, DIANE L MRS.",REP,264263.51,325797.03,23723
"BLACK, THEREASA MARIE",DEM,5844.02,5844.02,1796.02
"BLACKBURN, MARSHA MRS.",REP,14634619.97,16572477.7,9763518.28
"BLACKBURN, MARSHA MRS.",REP,14634619.97,16572477.7,9763518.28
"BLACKMON, ANTHONY MR",REP,5648,5355.84,0
"BLAHA, ROBERT",REP,16988,20642,0
"BLANKENBEKER, LYNNE",REP,134043.56,133498.13,86575.01
"BLANKENSHIP, DON",CON,4165210.09,4165209.19,5000
"BLANKENSHIP, JARED",REP,0,0,0
"BLANKENSHIP, SETH BRADEN",REP,6812,6621,3602
"BLANTON, DERRICK JAMES",DEM,1118,1538,647
"BLESDOE DVM, WILLIAM D",REP,10000,10000,0
"BLIATOUT, BOBBY",DEM,394178.67,394178.67,105154.47
"BLOOM, STEPHEN",REP,349627.49,349627.49,322484.45
"BLUE, DANIEL JR",DEM,0,0,0
"BLUM, RODNEY",REP,2814962.02,2774877.78,1374281.31
"BLUMENAUER, EARL",DEM,1490752.96,1628249.92,529399.91
"BLUMENTHAL, RICHARD",DEM,710244.15,497913.72,591915.69
"BLUNT ROCHESTER, LISA",DEM,1316505.82,1196085.62,402612.18
"BLUNT, ROY",REP,1591199.28,1154511.96,961865.08
"BOATNER, JOHN BURKE JR",DEM,43421.45,42137.45,42313.63
"BOERIO, BIBIANA",DEM,690533.84,666896.95,241101.3
"BOHREN, JENSEN MR",DEM,4447,4577,1994
"BOICE, COURT",REP,0,0.8,0
"BOIVIN, BRADLEY THOMAS DR.",REP,5380,5380,5360
"BONAMICI, SUZANNE MS.",DEM,1042187.68,849466.22,495794.78
"BONHAM, PAUL",REP,9034,9034,0
"BONNEAU, JERED GAVIN",REP,4431.7,3801.26,4075
"BONNER, JAY ALAN",NNE,4479.95,5413.95,4029.95
"BONOFF, TERRI",DFL,490.11,1061.97,0
"BOOKER, CORY A",DEM,6012679.26,3257638.51,3771708.56
"BOONE, TANYA",DEM,145068.89,142257.11,125649.1
"BOOZMAN, JOHN",REP,297946.92,259514.65,114056
"BORDALLO, MADELEINE Z. MS.",DEM,163165,170486.01,73190
"BOREN, DAVID DANIEL",DEM,47627.87,31119.78,0
"BORGIA, CHRIS",NNE,0,0,0
"BORRELLI, TAMBORINE",IND,47638.95,47707.59,30529.21
"BOSER, SUSAN",DEM,144712.13,145888.87,107643.34
"BOST, MICHAEL",REP,2872975.37,2875064.06,1122007.43
"BOSWORTH, ANNETTE DR",REP,0,0,0
"BOUCHER, FREDERICK C",DEM,166655.34,60467.04,0
"BOUIE II, JOHN MR",REP,0,0,0
"BOURDEAUX, CAROLYN",DEM,2943199.78,2801216.29,2553486.79
"BOURGEOIS, JENNA MARIE MS.",REP,494.09,143.14,260
"BOUSTANY, CHARLES W JR DR",REP,8532,24228,0
"BOUSTANY, CHARLES W. DR. JR.",REP,8532,24228,0
"BOWDEN, CRAIG",LIB,44654,43055,24852
"BOWERMAN, EARL",REP,11491.27,11491.27,4715
"BOYAJIAN, DON",DEM,520131.85,520131.85,510181.85
"BOYANTON, RICHARD WARREN",REP,60000,0,250
"BOYCE, HENRY CHARLES  ""CHUCK""  JR",REP,381647,380433.39,46084
"BOYD JR, WILLIE ""WILL""  EUGENE",DEM,15830,15753,9234
"BOYD, WILLIE ""WILL"" DR. JR.",DEM,1023,1083.86,238
"BOYLE, BRENDAN F",DEM,1174514.84,967574.51,332099.71
"BRADDY, SEAN D",IND,100,0,100
"BRADFORD, DAPHNE DENISE",DEM,5738.07,1500,5738.07
"BRADSHAW, PAULA",GRE,0,0,0
"BRADY, DWIGHT JOHN MR.",DEM,28353.17,35712.8,21018.09
"BRADY, KEVIN",REP,5275171.36,6020897.99,1495839
"BRADY, ROBERT A",DEM,335805.46,914455.54,187576.64
"BRAKEY, ERIC",REP,962794.83,962182.9,924143.68
"BRANNON, GREGORY",REP,0,0,0
"BRANNON, GREGORY JOSEPH",REP,0,0,0
"BRANNON, MARY",DEM,16994.33,10757.72,1675
"BRAT, DAVID ALAN MR.",REP,3373991.32,3371043.95,2826335.09
"BRAUN, MIKE",REP,19663419.47,19591836.39,6337766.26
"BRAUN, STEVEN J",REP,1241320.13,1241320.13,362090
"BREDESEN, PHILIP",DEM,19621771.52,19461776.79,10220299.53
"BRIAN, LEE ANDREA MS.",REP,1690.45,281.79,34.92
"BRIDENSTINE, JAMES FREDERICK",REP,4368.72,77936.52,0
"BRIEL, AMY",DEM,17571,22776.98,5816
"BRIGHT, BOBBY NEAL SR.",REP,420688.08,420688.08,110208.08
"BRIGHT, LEE",REP,342037.73,339465.24,338641.43
"BRILL, DAVID H",DEM,598542.59,598541.66,358758.47
"BRINDISI, ANTHONY",DEM,4641923.14,4637060.53,3556650.4
"BRINKLEY, DAVID ROSS",REP,0,0,0
"BRINKMAN, THOMAS E",REP,3050,0,0
"BRINSON, R RANDOLPH RANDY MD",REP,302340,302337,21595
"BRION, SCOTT FLOYD",DEM,425.55,2533.19,424.96
"BRISCOE, JOHN",REP,54713.56,48137.47,8565
"BRISEE, STEVEN MITCHELL",DEM,6494.25,5884.92,6079.25
"BRITTON, LEONARD WHEELER",REP,0,232,0
"BROADY, FLYNN D. JR.",DEM,50187,47106.01,23575.09
"BROCK, ANDREW C",REP,2700,20276,0
"BROLLEY, MATT",DEM,165970.12,165721.02,155966.22
"BROOK, MARTIN",DEM,36287.65,36287.64,31329.85
"BROOKS, DORIS FLORES",REP,150379,138694.66,125379
"BROOKS, JANIS C DR",DEM,3572.88,4852.76,431.7
"BROOKS, JANIS C REV DR",DEM,3572.88,4852.76,431.7
"BROOKS, MO",REP,1527246.16,2006001.97,1216500.38
"BROOKS, MO",REP,1527246.16,2006001.97,1216500.38
"BROOKS, SUSAN MRS.",REP,1435482.14,1918446.57,507862.8
"BROUN, PAUL",REP,0,0,0
"BROWN II, STEPHEN KEITH",DEM,55029.07,53215.97,17354.31
"BROWN, AJA",DEM,18679.89,17820.15,17679.89
"BROWN, ALVIN",DEM,450694.05,447745.26,407166.28
"BROWN, ANTHONY",DEM,901269.42,555136.23,302585.04
"BROWN, BRANDON PENDARVIS",DEM,68547.33,72311.39,51961.36
"BROWN, CHRISTINE CAROL",DEM,475862.12,467396.37,471221.45
"BROWN, DAVID",DEM,130009.98,129496.16,126029.92
"BROWN, DESIREE MICHELLE",REP,58,73.45,58
"BROWN, EDWARD S",DEM,0,0,0
"BROWN, HENRY E. JR.",REP,0,21359,0
"BROWN, JAMES E",REP,0,0,0
"BROWN, LINDSAY CHRISTINE MRS.",REP,4365.06,7357.5,4365.06
"BROWN, LISA",DEM,5763983.16,5709605.32,4982374.16
"BROWN, MICHAEL BERNARD",DEM,535,0,400
"BROWN, PAUL MICHAEL",REP,0,448.89,0
"BROWN, SAKIMA",REP,222507.83,229063.21,218882.87
"BROWN, SHAUN DENISE",DEM,716689.27,717224.83,5083.85
"BROWN, SHERROD",DEM,22766559.45,24579168.77,17427954.58
"BROWN, STEPHEN H MR",REP,204799.35,204863.22,40580
"BROWN, YOLANDA",DEM,0,0,0
"BROWNING, DEAN",REP,226600,226593.72,56600
"BROWNING, KATE M.",DEM,580578.79,580578.79,451902.01
"BROWNLEY, JULIA",DEM,2589593.97,1788074.84,1596390.12
"BRUCE, GEORGE C MR.",REP,56300,56300,45900
"BRUMBLES, JOSEPH",REP,5243,6071.52,2485
"BRUUN, BECH",REP,662739.22,662520.68,518989.22
"BRYAN, PAT",DEM,1192.88,855,1192.88
"BRYANT, DAVID R",REP,19167,12639,9512
"BRYCE, RANDY",DEM,8624818.07,8616498.17,8091522.53
"BUCHAN, SEAN ALAN",REP,950,950,200
"BUCHANAN, VERNON",REP,2991634.45,4379661.84,1045080.86
"BUCHMAN, JOSEPH GEDDES DR. PHD",LIB,9326,10233.42,4326
"BUCK, GEORGE WILLIAM PHD",REP,42527.82,42519.44,34102.76
"BUCK, JASON",REP,0,0,0
"BUCK, KENNETH R",REP,615310.51,665221.16,307336.4
"BUCSHON, LARRY D.",REP,969956.05,1048586.17,237653
"BUDD, THEODORE P.",REP,2432467.17,2381821.24,1309901.6
"BULGER, JASON MICHAEL",NPA,8962.08,8759.47,8962.08
"BUNKEDDEKO, ADEM",DEM,278264.23,278264.23,276940
"BUNNY, SEAN",DEM,137015.32,137015.32,131181.66
"BUNTYN, TONY",REP,0,0,0
"BURCH, LORIE LOUISE",DEM,320882.91,322136.33,287295.53
"BURCHETT, TIM",REP,1094057.68,958168.08,983817.43
"BURGESS, MICHAEL C. DR.",REP,1684056.21,1744861.24,556920.9
"BURKETT, MARY",REP,11180.3,11180.3,5125.12
"BURNER, DARCY",DEM,0,45,0
"BURNETTE, ERIC",DEM,75202,75202,52122
"BURNS, MARK",REP,136405.05,136405.05,130405.05
"BURNS, NEIL  PAUL",DEM,0,0,0
"BURNS, ROBERT ANDREW",REP,43186.5,43113.71,6186.5
"BURNS, TIMOTHY G",REP,0,0,0
"BURR, RICHARD M",REP,346090.03,334285.51,41176
"BURRIS, MICHAEL CRAIG",REP,0,171.91,0
"BURTON, DANNY L",REP,859.88,17309,0
"BURUM, JEFFREY DAVID MAJ (RET)",REP,38244.27,38244.27,4715
"BUSBY, GERALD LEE",IND,20835.4,20791.68,18585.4
"BUSH, AARON MICHAEL",DEM,0,0,0
"BUSH, CORI",DEM,177038.34,177038.34,172647.18
"BUSH, JEB",REP,2639.41,22816.86,0
"BUSTOS, CHERI",DEM,3952032.32,3153696.81,2180721.17
"BUTLER, JINEEA THE NEW AM",REP,5927.73,5826,0
"BUTLER, JOSHUA A",DEM,56282.82,56282.82,26312.08
"BUTNER, JOSH",DEM,758932.09,758932.09,576456.22
"BUTTAR, SHAHID",DEM,69574.53,69566.46,65738.63
"BUTTERFIELD, G. K.",DEM,772055.3,904443.55,102895.8
"BUTTREY, FRANCIS EDWARD",REP,8790,8790,8790
"BYRNE, BRADLEY ROBERTS",REP,1463187.12,834780.43,343761.59
"BYRNE, BRENDAN THOMAS JR",DEM,82711,5416,0
