subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,dem,rep,adjusted_dem,adjusted_rep,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
All polls,11/19/2021,4/15/2021,4/20/2021,Change Research,B-,1025,rv,0.96605047,0.08324042,48,43,45.82602,41.531829,NA,NA,https://twitter.com/ChangePolls/status/1388132970536505344,74730,140873,4/30/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,4/17/2021,4/20/2021,NBC News,B+,790,rv,1.0886615,0.09250355,47,42,45.48448,40.901431,NA,NA,https://www.documentcloud.org/documents/20690434-210098-nbc-news-april-poll-4-25-21-release,74703,140773,4/26/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,4/17/2021,4/20/2021,YouGov,B+,1168,rv,0.49024028,0.02882412,45,37,44.697952,40.096474,NA,NA,https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,74683,144500,8/26/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,4/16/2021,4/23/2021,Echelon Insights,B/C,1043,rv,0.57777659,0.03801731,46,42,43.67855,41.242034,NA,NA,https://echeloninsights.com/in-the-news/april-omnibus-political/,74731,140848,4/28/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,4/21/2021,4/23/2021,YouGov,B+,1000,a,0.44256379,0.02719805,45,38,44.697952,41.096474,NA,NA,https://polsci.umass.edu/toplines-and-crosstabs-april-2021-election-reform,74708,140862,4/29/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,4/24/2021,4/27/2021,YouGov,B+,1138,rv,0.44520747,0.02875384,43,38,42.697952,41.096474,NA,NA,https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75771,144501,8/26/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,5/5/2021,5/9/2021,Cygnal,B+,1030,a,1.2530866,0.14139083,43.9,41.4,43.956001,40.93306,NA,NA,https://projects.fivethirtyeight.com/polls/20210525_US_Cygnal.pdf,74847,142547,5/25/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,5/6/2021,5/8/2021,RMG Research,B-,1000,rv,0.59119547,0.04730418,41,40,42.50089,40.855092,NA,NA,https://scottrasmussen.com/generic-congressional-ballot-democrats-41-republican-40/,74803,142337,5/13/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,5/8/2021,5/9/2021,Redfield & Wilton Strategies,B/C,1189,lv,0.95256082,0.1129767,44,37,44.023885,38.154425,NA,NA,https://redfieldandwiltonstrategies.com/bidens-approval-rating-remains-high-whereas-pluralities-disapprove-of-all-congressional-leaders/?utm_source=rss&utm_medium=rss&utm_campaign=bidens-approval-rating-remains-high-whereas-pluralities-disapprove-of-all-congressional-leaders,74805,142343,5/14/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,5/8/2021,5/11/2021,YouGov,B+,1138,rv,0.39056711,0.03156477,45,39,44.697952,42.096474,NA,NA,https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,74788,144502,8/26/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,5/12/2021,5/18/2021,McLaughlin & Associates,C/D,1000,lv,0.34777734,0.03286497,46,47,44.457303,43.184259,NA,NA,https://mclaughlinonline.com/pols/wp-content/uploads/2021/05/National-Monthly-Omnibus-MAY-Release-1.pdf,74819,142435,5/19/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,5/14/2021,5/17/2021,Echelon Insights,B/C,1132,rv,0.57815427,0.05593531,50,40,47.67855,39.242034,NA,NA,https://echeloninsights.com/in-the-news/may-omnibus-political/,74836,142498,5/21/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,5/15/2021,5/18/2021,YouGov,B+,1141,rv,0.36988511,0.03606239,47,38,46.697952,41.096474,NA,NA,https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,74817,144503,8/26/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,5/18/2021,5/24/2021,Quinnipiac University,A-,1174,rv,1.1978217,0.15913544,50,41,48.754974,39.505672,NA,NA,https://poll.qu.edu/poll-release?releaseid=3810,74854,142608,5/26/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,5/20/2021,5/25/2021,ALG Research/Hart Research Associates,NA,805,rv,0.72097516,0.11462551,39,37,40.812178,38.139509,NA,NA,https://americansfortaxfairness.org/wp-content/uploads/Toplines-ALG-HART-ATF-Tax-Poll-May-2021-for-release.pdf,75038,143047,7/7/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,5/22/2021,5/25/2021,YouGov,B+,1135,rv,0.35306915,0.04011742,46,37,45.697952,40.096474,NA,NA,https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,74851,144504,8/26/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,5/29/2021,6/1/2021,YouGov,B+,1187,rv,0.3468693,0.04475914,43,35,42.697952,38.096474,NA,NA,https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,74878,144505,8/26/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,6/2/2021,6/8/2021,ALG Research,B/C,1000,lv,0.94813222,0.18629456,46,46,45.258434,43.925217,NA,NA,https://thirdway.imgix.net/pdfs/override/Economic-Trust-Gap-Survey-Toplines-June-2021.pdf,75784,144538,8/30/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,6/5/2021,6/8/2021,YouGov,B+,1189,rv,0.33796686,0.04848699,46,37,45.697952,40.096474,NA,NA,https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75772,144506,8/26/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,6/7/2021,6/10/2021,The Winston Group,A/B,1000,rv,1.1742924,0.22490743,46,42,45.03681,41.307515,NA,NA,https://www.winningtheissues.org/wp-content/uploads/2021/08/Winning-the-Issues-June-2021-National-Survey.pdf,75475,143967,8/6/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,6/12/2021,6/15/2021,YouGov,B+,1196,rv,0.33159941,0.05208285,41,34,40.697952,37.096474,NA,NA,https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75773,144507,8/26/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,6/11/2021,6/17/2021,Ipsos,B-,4420,a,1.1599265,0.22139397,37,30,39.697648,34.266046,NA,NA,https://www.ipsos.com/sites/default/files/ct/news/documents/2021-07/Reuters%20Ipsos%20Large%20Issue%20Poll%20%203%20-%2011%20June%20thru%2017%20June%202021%20Topline%20write-up.pdf,75062,143119,7/8/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,6/16/2021,6/20/2021,McLaughlin & Associates,C/D,1000,lv,0.35308784,0.05813832,46,47,44.457303,43.184259,NA,NA,https://mclaughlinonline.com/pols/wp-content/uploads/2021/06/National-Monthly-Omnibus-6-21-21-Release.pdf,74998,142940,6/24/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,6/14/2021,6/21/2021,GQR Research,B,2000,rv,1.3700447,0.31271634,46,44,44.536799,42.616571,NA,NA,https://democracycorps.com/wp-admin/admin-ajax.php?juwpfisadmin=false&action=wpfd&task=file.download&wpfd_category_id=267&wpfd_file_id=297950&token=&preview=1,75856,144681,9/2/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,6/18/2021,6/22/2021,Echelon Insights,B/C,1001,rv,0.54210308,0.09338631,46,42,43.67855,41.242034,NA,NA,https://echeloninsights.com/in-the-news/june-omnibus-political/,74995,142925,6/24/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,6/19/2021,6/22/2021,YouGov,B+,1157,rv,0.31783855,0.05447807,44,37,43.697952,40.096474,NA,NA,https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75774,144508,8/26/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,6/22/2021,6/24/2021,RMG Research,B-,1200,rv,0.5495714,0.09845351,41,38,42.50089,38.855092,NA,NA,https://scottrasmussen.com/generic-ballot-democrats-41-republicans-38/,75015,142990,6/30/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,6/26/2021,6/29/2021,YouGov,B+,1198,rv,0.31468125,0.05832283,44,36,43.697952,39.096474,NA,NA,https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75012,144509,8/26/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,7/3/2021,7/6/2021,YouGov,B+,1176,rv,0.30727757,0.06102643,43,37,42.697952,40.096474,NA,NA,https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75036,144510,8/26/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,7/8/2021,7/8/2021,PEM Management Corporation,NA,1000,lv,0.69027885,0.18903691,41.7,42.1,43.001339,41.187442,NA,NA,https://www.boltonsuperpac.com/presser_07192021.php,75257,143478,7/20/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,7/10/2021,7/13/2021,YouGov,B+,1159,rv,0.30151639,0.06391259,44,37,43.697952,40.096474,NA,NA,https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75150,144511,8/26/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,7/17/2021,7/20/2021,YouGov,B+,1187,rv,0.30131657,0.0679692,44,35,43.697952,38.096474,NA,NA,https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75264,144512,8/26/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,7/19/2021,7/23/2021,Echelon Insights,B/C,1143,rv,0.5408602,0.13269235,48,41,45.67855,40.242034,NA,NA,http://60p3co1nax34ovc830mr2sak-wpengine.netdna-ssl.com/wp-content/uploads/July-2021-Omnibus-EXTERNAL-TOPLINES.pdf,75370,143764,7/26/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,7/22/2021,7/24/2021,RMG Research,B-,1200,rv,0.46291361,0.12250341,41,38,42.50089,38.855092,NA,NA,https://scottrasmussen.com/generic-ballot-democrats-41-republicans-38-2/,75377,143778,7/27/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,7/20/2021,7/28/2021,WPA Intelligence,B/C,1000,rv,0.89422336,0.30209418,44,42,43.887106,41.65171,NA,NA,https://clubforgrowth.ftlbcdn.net/wp-content/uploads/2021/09/CfGPAC_National_Political_PollingMemo_210915.pdf,76308,145381,9/15/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,7/24/2021,7/27/2021,YouGov,B+,1178,rv,0.29790314,0.07141823,43,36,42.697952,39.096474,NA,NA,https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75406,144513,8/26/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,7/27/2021,8/2/2021,Quinnipiac University,A-,1145,rv,1.010742,0.30545435,45,44,43.754974,42.505672,NA,NA,https://poll.qu.edu/images/polling/us/us08042021_regvoter_usag18.pdf,75443,143921,8/4/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,7/29/2021,8/3/2021,McLaughlin & Associates,C/D,1000,lv,0.36226553,0.09186522,46,48,44.457303,44.184259,NA,NA,https://mclaughlinonline.com/pols/wp-content/uploads/2021/08/National-Monthly-Omnibus-8-2021-Release-.pdf,75491,144003,8/10/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,7/31/2021,8/3/2021,YouGov,B+,1174,rv,0.29597762,0.075232,45,37,44.697952,40.096474,NA,NA,https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75441,144514,8/26/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,8/5/2021,8/7/2021,RMG Research,B-,1200,rv,0.44488878,0.13564641,42,40,43.50089,40.855092,NA,NA,https://scottrasmussen.com/generic-ballot-democrats-42-republicans-40/,75509,144052,8/11/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,8/7/2021,8/10/2021,YouGov,B+,2306,rv,0.3856809,0.10384511,45,37,44.697952,40.096474,NA,NA,https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75508,144515,8/26/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,8/10/2021,8/18/2021,Schoen Cooperman Research,B/C,750,lv,0.89221898,0.36772778,46,48,45.156546,45.65534,NA,NA,https://drive.google.com/file/d/1aSB6K1a9vTZXeU-S8Hg4CO_6S6fYsmlh/view,75825,144634,9/1/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,8/12/2021,8/18/2021,Susquehanna Polling & Research Inc.,B+,800,lv,1.0589598,0.42366102,38,39,41.426015,42.477059,NA,NA,https://thefederalist.com/2021/08/19/new-poll-from-the-federalist-susquehanna-shows-joe-bidens-approval-nose-diving-following-botched-afghanistan-withdrawal/,75689,144335,8/20/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,8/14/2021,8/17/2021,NBC News,B+,790,rv,0.9173147,0.35286319,47,46,45.48448,44.901431,NA,NA,https://www.nbcnews.com/politics/meet-the-press/biden-s-job-ratings-decline-amid-covid-surge-afghanistan-withdrawal-n1277368,75707,144388,8/22/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,8/13/2021,8/18/2021,Echelon Insights,B/C,1016,rv,0.51633427,0.17255687,50,40,47.67855,39.242034,NA,NA,https://echeloninsights.com/in-the-news/august-omnibus-political/,75703,144375,8/20/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,8/16/2021,8/16/2021,Ipsos,B-,947,a,0.83355883,0.31343677,40,37,42.697648,41.266046,NA,NA,https://www.reuters.com/world/us/biden-approval-drops-lowest-level-this-year-after-taliban-takeover-2021-08-17/,75616,144246,8/18/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,8/14/2021,8/17/2021,YouGov,B+,1159,rv,0.28667052,0.09233377,43,38,42.697952,41.096474,NA,NA,https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75618,144516,8/26/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,8/3/2021,9/7/2021,CNN/SSRS,C,1838,rv,0.81081213,0.35027312,45,44,43.215371,43.041559,NA,NA,http://cdn.cnn.com/cnn/2021/images/09/12/rel5c.-.partisanship.pdf,75985,145013,9/12/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,8/21/2021,8/24/2021,YouGov,B+,1162,rv,0.27736378,0.10646438,44,37,43.697952,40.096474,NA,NA,https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75743,144517,8/26/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,8/26/2021,8/29/2021,RMG Research,B-,1200,rv,0.43566135,0.19636866,40,40,41.50089,40.855092,NA,NA,https://scottrasmussen.com/generic-congressional-ballot-tied-among-registered-voters-however-among-very-motivated-voters-gop-has-5-point-lead/,75820,144615,9/1/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,8/28/2021,8/31/2021,YouGov,B+,1171,rv,0.27174287,0.12029031,45,38,44.697952,41.096474,NA,NA,https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75822,144631,9/1/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,8/30/2021,9/2/2021,Change Research,B-,1571,lv,1.0647967,0.55620801,49,45,46.82602,43.531829,NA,NA,https://changeresearch.com/post/cnbc-change-research-national-poll/,76414,145569,9/22/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,9/1/2021,9/8/2021,Public Opinion Strategies,A-,800,rv,1.2400585,0.68353397,42,42,42.509767,41.807372,NA,NA,https://pos.org/wp-content/uploads/2021/09/September-2021-Omni-Generic-Ballot.pdf,75984,145003,9/10/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,9/4/2021,9/7/2021,YouGov,B+,1158,rv,0.26661491,0.13307452,43,37,42.697952,40.096474,NA,NA,https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75921,144824,9/8/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,9/4/2021,9/8/2021,The Winston Group,A/B,1000,rv,1.2545587,0.68943199,46,43,45.03681,42.307515,NA,NA,https://www.winningtheissues.org/wp-content/uploads/2021/09/Winning-the-Issues-September-2021-National-Survey.pdf,76417,145578,9/22/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,9/10/2021,9/11/2021,RMG Research,B-,1200,rv,0.4496854,0.24698452,40,40,41.50089,40.855092,NA,NA,https://scottrasmussen.com/generic-congressional-ballot-gop-40-dems-40/,76098,145014,9/13/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,9/10/2021,9/13/2021,Quinnipiac University,A-,1079,rv,0.88324639,0.50749708,47,43,45.754974,41.505672,NA,NA,https://poll.qu.edu/poll-release?releaseid=3819,76281,145321,9/14/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,9/10/2021,9/13/2021,YouGov,B+,1153,rv,0.26473208,0.14451814,43,37,42.697952,40.096474,NA,NA,https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,76286,145356,9/15/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,9/9/2021,9/14/2021,McLaughlin & Associates,C/D,1000,lv,0.32670412,0.18022687,46,47,44.457303,43.184259,NA,NA,https://mclaughlinonline.com/pols/wp-content/uploads/2021/09/MA-National-Survey-Release-September-2021.pdf,76285,145350,9/15/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,9/10/2021,9/13/2021,Morning Consult,B,1997,rv,0.34105211,0.1933619,43,39,42.358545,39.472918,NA,NA,https://assets.morningconsult.com/wp-uploads/2021/09/15071200/2109049_crosstabs_POLITICO_RVs_v1_SH.pdf,76105,145330,9/15/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,9/13/2021,9/19/2021,Pew Research Center,B/C,10371,a,1.9956802,1.238802,45,40,44.262159,40.624599,NA,NA,https://docs.google.com/spreadsheets/d/1-BjWhA-McZyEvjDp_kry9WPjK07GHrfw7werH4MeGGs/edit#gid=1390745020,76459,149799,11/12/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,9/18/2021,9/20/2021,Morning Consult,B,1998,rv,0.31890491,0.19795852,44,40,43.358545,40.472918,NA,NA,https://assets.morningconsult.com/wp-uploads/2021/09/21221706/2109121_crosstabs_POLITICO_34B_INFRASTRUCTURE_RVs_v1_SH.pdf,76407,145543,9/22/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,9/17/2021,9/23/2021,Echelon Insights,B/C,829,lv,0.43797764,0.26829075,50,40,47.67855,39.242034,NA,NA,https://echeloninsights.com/in-the-news/september-omnibus-political/,76464,145659,9/24/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,9/18/2021,9/21/2021,YouGov,B+,1281,rv,0.27632423,0.16760618,52,48,51.697952,51.096474,NA,NA,https://docs.cdn.yougov.com/h4zvi2yb6c/econTabReport.pdf,76410,145558,9/22/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,9/16/2021,9/29/2021,Public Religion Research Institute,A/B,2508,a,1.5645046,1.0403776,37,29,39.375527,33.885197,NA,NA,https://www.prri.org/research/competing-visions-of-america-an-evolving-identity-or-a-culture-under-attack/,77151,148814,11/1/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,9/20/2021,9/26/2021,Marist College,A,1029,rv,1.2767685,0.84558265,46,38,44.998547,39.012487,NA,NA,https://maristpoll.marist.edu/wp-content/uploads/2021/09/NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_PLCV_202109271420.pdf,76556,145985,9/30/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,9/22/2021,9/24/2021,Lake Research Partners/Emerson College,NA,1000,rv,1.1709915,0.77869595,45,41,44.303076,41.18768,NA,NA,https://aitogether.org/wp-content/uploads/2021/10/MEMO_9.28.21_AIT.pdf,76608,146066,10/4/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,9/24/2021,9/27/2021,Morning Consult,B,1999,rv,0.30582254,0.2051149,45,41,44.358545,41.472918,NA,NA,https://assets.morningconsult.com/wp-uploads/2021/09/29071926/2109161_crosstabs_POLITICO_RVs_v1_SH-2.pdf,76468,145864,9/29/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,9/26/2021,9/28/2021,YouGov,B+,1246,rv,0.27527704,0.18118962,52,48,51.697952,51.096474,NA,NA,https://docs.cdn.yougov.com/h4zvi2yb6c/econTabReport.pdf,76511,145879,9/29/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,10/1/2021,10/4/2021,Quinnipiac University,A-,1177,rv,0.92334277,0.66143685,44,47,42.754974,45.505672,NA,NA,https://poll.qu.edu/poll-release?releaseid=3823,76611,146077,10/5/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,10/2/2021,10/4/2021,Morning Consult,B,1998,rv,0.29929011,0.21496285,43,42,42.358545,42.472918,NA,NA,https://www.politico.com/f/?id=0000017c-5392-d47e-ab7e-dfb2c5590000,76615,146089,10/6/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,10/1/2021,10/4/2021,YouGov,B+,1640,a,0.31083808,0.21806034,37,31,36.697952,34.096474,NA,NA,https://docs.cdn.yougov.com/a6ira9rwv9/20211001_yahoo_vaccine_tabs.pdf,76619,146229,10/8/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,10/3/2021,10/5/2021,YouGov,B+,1261,rv,0.2806808,0.19890049,43,36,42.697952,39.096474,NA,NA,https://docs.cdn.yougov.com/j46zs8picp/econTabReport.pdf,76617,146112,10/6/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,10/8/2021,10/11/2021,Morning Consult,B,1999,rv,0.2982697,0.22797407,43,41,42.358545,41.472918,NA,NA,https://assets.morningconsult.com/wp-uploads/2021/10/13064013/2110042_crosstabs_POLITICO_RVs_v2_SH.pdf,76754,146309,10/13/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,10/9/2021,10/12/2021,YouGov,B+,1266,rv,0.28994052,0.21969199,45,37,44.697952,40.096474,NA,NA,https://docs.cdn.yougov.com/h2rgoa7a3x/econTabReport.pdf,76756,146334,10/13/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,10/11/2021,10/13/2021,RMG Research,B-,1200,rv,0.52596893,0.4017947,40,41,41.50089,41.855092,NA,NA,https://scottrasmussen.com/generic-ballot-republicans-41-democrats-40/,76823,146435,10/15/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,10/14/2021,10/18/2021,McLaughlin & Associates,C/D,1000,lv,0.34745352,0.27646255,47,48,45.457303,44.184259,NA,NA,https://mclaughlinonline.com/pols/wp-content/uploads/2021/10/National-Monthly-October-Release.pdf,76905,146595,10/20/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,10/14/2021,10/17/2021,CNBC/Hart Research/Public Opinion Strategies,B+,800,a,0.83184229,0.66959188,43,41,41.48448,39.901431,NA,NA,https://www.cnbc.com/video/2021/10/21/cnbcs-all-america-economic-survey-bidens-approval-rating-plummets.html,76912,146638,10/21/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,10/15/2021,10/19/2021,Echelon Insights,B/C,915,lv,0.45934254,0.36982095,46,45,43.67855,44.242034,NA,NA,https://echeloninsights.com/in-the-news/october-omnibus-political/,76908,146617,10/20/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,10/16/2021,10/18/2021,Morning Consult,B,1998,rv,0.30200957,0.24450431,45,40,44.358545,40.472918,NA,NA,https://assets.morningconsult.com/wp-uploads/2021/10/20054637/2110084_crosstabs_POLITICO_RVs_v1_SH.pdf,76896,146560,10/20/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,10/16/2021,10/19/2021,YouGov,B+,1268,rv,0.3010439,0.2427568,42,37,41.697952,40.096474,NA,NA,https://docs.cdn.yougov.com/mzvq4c7ty8/econTabReport.pdf,76904,146584,10/20/2021,14:56:06 19 Nov 2021
