cycle,race,state,candidates,endorsements
2018,House,Delaware,Lee Murphy,"Political candidates
Gene Truono, Republican candidate for United States Senate"
2018,House,Delaware,Lisa Blunt Rochester,"U.S. Senators
Tom Carper, U.S. Senator from Delaware
Chris Coons, U.S. Senator from Delaware
Governors
John Carney, 74th Governor of Delaware[12]
Lt. Governors
Bethany Hall-Long, 26th Lt. Governor of Delaware
Political candidates
Don Allan, Democratic nominee for Delaware's 36th Representative district
Colleen Davis, Democratic nominee for State Treasurer
Dee Durham, Democratic nominee for New Castle County's 2nd council district
Krista Griffith, Democratic nominee for Delaware's 12th Representative district
Kathy Jennings, Democratic nominee for Delaware state Attorney General
Elizabeth ""Tizzy"" Lockman, Delaware State Senator-elect for 3rd district
Laura Sturgeon, Democratic nominee for Delaware's 4th Senate district
Individuals
Coby Owens, social justice activist, CEO of Youth Caucus of America, and 2016 delegate for Bernie Sanders
Organizations
Congressional Black Caucus PAC
Democratic Party
Delaware Division of Public Health
Delaware Women Legislators
Human Rights Campaign[2]
Moms Demand Action for Gun Sense in America
Mary Ann’s List
Planned Parenthood
Sierra Club[13]
Stonewall Democrats"
2018,House,Delaware,Scott Walker,"Individuals
Lil B, rapper"
2018,House,Delaware,Andrew Webb (write-in),"County Councilpersons
Rob Arlett, Sussex County Councilman and Republican nominee for U.S. Senate in Delaware[14]
Individuals
James Brittingham, Libertarian Party of Delaware Sussex County chairman
Organizations
Independent Party of Delaware
Libertarian Party of Delaware Sussex County Chapter"
2018,House,Delaware,Declined to endorse,"Declined to endorse Scott Walker
Rob Arlett, Sussex County Councilman and Republican nominee for U.S. Senate in Delaware (endorsed Andrew Webb) [14]
Peter Kopf, former New Castle County Republican chairman
Lee Murphy, former candidate
Republican Party
Andrew Webb, community activist and student (running as write-in)"
2018,House,Florida,Michael Waltz (R),"U.S. Executive Branch officials
Donald Trump, President of the United States[10]"
2018,House,Florida,Chardo Richardson,"Individuals
Alexandria Ocasio-Cortez, Democratic nominee for New York's 14th congressional district[11]
Organizations
Justice Democrats
Brand New Congress"
2018,House,Florida,Stephanie Murphy,"U.S. Executive Branch officials
Joe Biden, 47th Vice President of the United States 2009–2017; U.S. Senator from Delaware 1973–2009; candidate for President in 1988 and in 2008[12]
Individuals
Mark Kelly, retired astronaut, engineer, and U.S. Navy Captain[12]"
2018,House,Florida,Mike Miller,"Marco Rubio, U.S. Senator[19]"
2018,House,Florida,Scott Sturgill,"Kevin Beary, former Orange County Sheriff[20]
Dennis Lemma, Seminole County Sheriff[20]
Carlos López-Cantera, Lieutenant Governor of Florida[21]"
2018,House,Florida,Neil Combee,"State legislators
J. D. Alexander, State Senator from Florida (District 17) 2002–2012[28]
John Wood, State Representative from Florida (District 41) 2008–present[29]
Mike La Rosa, State Representative from Florida (District 42) 2012–present[29]
Ben Albritton, State Representative from Florida (District 56) 2010–present[29]
Newspapers
Tampa Bay Times[30] (primary only)"
2018,House,Florida,Declined to endorse,"U.S. Representatives
Dennis Ross, incumbent U.S. Representative from FL-15 2011–present[24] (endorsed Spano in general election)
Sheriffs
Grady Judd, Sheriff of Polk County 2005–present[31] (endorsed Spano in general election)"
2018,House,Florida,Ross Spano (R),"U.S. Senators
Marco Rubio, U.S. Senator from Florida 2011–present; candidate for President in 2016[33]
U.S. Representatives
Dennis Ross, incumbent U.S. Representative from FL-15 2011–present[34]
Statewide officials
Pam Bondi, Attorney General of Florida 2011–present[33]
State legislators
Jake Raburn, State Representative from Florida (District 57) 2012–present[29]
Sheriffs
Grady Judd, Sheriff of Polk County 2005–present[34]"
2018,House,Florida,Greg Steube,"Organizations
Club for Growth"
2018,House,Florida,Carlos Reyes,"Newspapers
Miami Herald[51]"
2018,House,Florida,Mary Barzee Flores,"Organizations
EMILY's List[59][60]
League of Conservation Voters[61]
Progressive Democrats of America[62]"
2018,House,Florida,Carlos Curbelo,"Newspapers
Miami Herald[51]"
2018,House,Florida,David Richardson,"Individuals
Scott Fuhrman, businessman and nominee for this seat in 2016[80]
Organizations
SAVE Dade[81]"
2018,House,Florida,Michael Hepburn,"Individuals
Alexandria Ocasio-Cortez, educator, community organizer, and political activist of Puerto Rican ancestry; Democratic nominee for NY-14 in 2018[82]
Organizations
Brand New Congress
Justice Democrats"
2018,House,Florida,Bettina Rodriguez Aguilera,"Newspapers
Miami Herald[51]"
2018,House,Georgia,Lucy McBath (D),"Congressional Black Caucus[19]
EMILY's List[20]
Everytown for Gun Safety[21]
Giffords[22]
John Lewis, civil rights activist and member of the House of Representatives[23]
Tara Strong, voice actress and activist[24]
NARAL Pro-Choice America[25]
Barack Obama, former President of the United States[26]"
2018,House,Georgia,Karen Handel (R),"Maggie's List[27]
National Rifle Association[28]
Condoleezza Rice, former United States Secretary of State[29]
Donald Trump, President of the United States[30]"
2018,House,Georgia,Carolyn Bourdeaux (D),"Max Cleland, former United States Senator from Georgia[38]
EMILY's List[39]
End Citizens United[40]
Hank Johnson[41]
Andrew Young[41]"
2018,House,Georgia,Carolyn Bourdeaux (D),"Stacey Abrams[43]
Georgia Association of Educators[44]
Barack Obama[45]
Ethan Pham[43]
United Auto Workers[44]"
2018,House,Georgia,Rob Woodall (R),"Council for Citizens Against Government Waste[46]
Family Research Council[47]
National Rifle Association[47]"
2018,House,Hawaii,Doug Chin,"Trade unions
American Federation of Government Employees[8]
Hawaii State Teachers Association[9]
International Federation of Professional and Technical Engineers[10]
Organizations
End Citizens United[11]"
2018,House,Hawaii,Beth Fukumoto,"Trade unions
University of Hawaii Professional Association[12]"
2018,House,Hawaii,Kaniela Ing,"U.S. Representatives
Ro Khanna (D-CA-17)[13]
Pramila Jayapal (D-WA-7)[14]
State Representatives
Sylvia Luke (D-HI-25)[13]
Takashi Ohno (D-HI-27)[13]
Individuals
Jim Dean, activist[13]
Abdul El-Sayed, Democratic candidate for Governor of Michigan[15]
Bill McKibben, environmentalist[13]
Shaun King, journalist and activist[13]
Alexandria Ocasio-Cortez, then the Democratic nominee for New York's 14th congressional district[16]
Cenk Uygur, host of The Young Turks[13]\
Trade unions
National Nurses United[13]
United Food and Commercial Workers[13]
Organizations
Democracy for America[13]
Democratic Socialists of America[17]
Justice Democrats[13]
Our Revolution[13]
The People for Bernie Sanders[13]
People for the American Way[13]
Progressive Change Campaign Committee[13]
Working Families Party[18]"
2018,House,Hawaii,Ernie Martin,"Trade unions
State of Hawaii Organization of Police Officers[19]"
2018,House,Hawaii,Donna Mercado Kim,"Local and statewide politicians
John Waihee, former Governor of Hawaii[20]
Individuals
Lee Donahue, former Honolulu Chief of Police[20]
June Jones, football coach[20]
Trade unions
International Longshore and Warehouse Union Local 142[20]
International Union of Painters and Allied Trades District Council 50[20]
United Brotherhood of Carpenters and Joiners of America Local 745[20]"
2018,House,Illinois,Dan Lipinski,"U.S. Senators
Ted Cruz, U.S. Senator from Texas (Republican)[8]
State legislators
Steven Landek, state senator[9]
County officials
Jeff Tobolski, member of the Cook County Board of Commissioners from the 16th district.[9]
Newsapapers
Chicago Sun-Times[10]
Chicago Tribune[11]
Organizations
Susan B. Anthony List[12]
International Association of Fire Fighters[13]
United Steelworkers[14]
International Brotherhood of Boilermakers[15]
Transport Workers Union[15]
International Association of Sheet Metal, Air, Rail and Transportation Workers[16]
International Association of Machinists and Aerospace Workers[16]"
2018,House,Illinois,Marie Newman,"U.S. Senators
Kirsten Gillibrand, United States Senator from New York[17]
Bernie Sanders, Independent United States Senator from Vermont, 2016 presidential candidate[18]
U.S. Representatives
Raúl Grijalva, Representative from Arizona's 3rd congressional district[19]
Luis Gutiérrez, Representative from Illinois's 4th congressional district[20]
Pramila Jayapal, Representative from Washington's 7th congressional district[19]
Ro Khanna, Representative from California's 17th congressional district[21]
Mark Pocan, Representative from Wisconsin's 2nd congressional district[19]
Jan Schakowsky, Representative from Illinois's 9th congressional district[20]
State legislators
State Senator Toi Hutchinson (D-Olympia Fields)[22]
State Representatives
Representative Laura Fine (D-Glenview)[22]
Representative Theresa Mah, (D-Chicago)[22]
Representative Ann Williams (D-Chicago)[22]
Local officials
Ameya Pawar, Chicago Alderman for the 47th ward, former gubernatorial candidate[23]
Toni Preckwinkle, President of the Cook County Board
Individuals
Gloria Steinem, feminist activist[24]
Organizations
American Postal Workers Union local #6266[21]
Citizen Action/Illinois[21]
Daily Kos[25]
Democracy for America[26]
EMILY's List[27]
Feminist Majority[24]
Human Rights Campaign[28]
Illinois Federation of Teachers[21]
Indivisible Brookfield[21]
Indivisible Chicago – South Side[21]
Indivisible LG/LGP[21]
Indivisible Western Springs[21]
J Street PAC[21]
Justice Democrats[29]
LPAC[21]
MoveOn.org[28]
NARAL[28]
National Association of Social Workers[21]
National Nurses United[30]
National Organization for Women[21]
Northside Democracy for America[21]
National Women's Political Caucus[21]
Our Revolution[21]
Our Revolution Illinois[21]
Planned Parenthood Action Fund[31]
Progressive Change Campaign Committee[32][33]
Service Employees International Union of Illinois[27]"
2018,House,Illinois,Sol Flores,"Organizations
EMILY's List[54]
Elected officials
Kirsten Gillibrand, U.S. Senator from New York[55]
Ameya Pawar, Chicago alderman[56]
Newspapers
Chicago Tribune[57]"
2018,House,Illinois,"Jesús ""Chuy"" García","Organizations
Our Revolution Illinois[58]
Elected officials
Luis Gutiérrez, retiring U.S. Representative (IL-4)[50]
Carlos Ramirez-Rosa, member of the Chicago City Council from the 35th ward and former U.S. Representative (IL-4) candidate[59]
Bernie Sanders, U.S. Senator from Vermont and 2016 presidential candidate[60]
Nina Turner, former member of the Ohio Senate and President of Our Revolution[58]
Individuals
Christopher G. Kennedy, businessman and 2018 Illinois gubernatorial candidate[61]
J. B. Pritzker, businessman and 2018 Democratic Illinois gubernatorial nominee[62]
Newspapers
Chicago Sun-Times[63]"
2018,House,Illinois,Sameena Mustafa,"Organizations
Justice Democrats[29]"
2018,House,Illinois,Carole Cheney,"Elected officials
Bill Foster, U.S. Representative, Illinois's 11th congressional district[80]"
2018,House,Illinois,Kelly Mazeski,"Elected officials
Cheri Bustos, U.S. Representative, Illinois's 17th congressional district[81]
Jan Schakowsky, U.S. Representative, Illinois's 9th congressional district[81]
Organizations
EMILY's List[82]
NARAL[83]
Newspapers
Chicago Sun-Times[84]"
2018,House,Illinois,Sean Casten (D),"Former U.S. Executive Branch officials
Barack Obama, 44th President of the United States[85]"
2018,House,Illinois,Mike Bost (R),"U.S. Executive Branch officials
Donald Trump, 45th President of the United States[102]"
2018,House,Illinois,Brendan Kelly (D),"Former U.S. Executive Branch officials
Barack Obama, 44th President of the United States[103]"
2018,House,Illinois,Betsy Dirksen Londrigan,"U.S. Sen. Dick Durbin[115]
U.S. Sen. Kirsten Gillibrand[116]
EMILY's List[117]"
2018,House,Illinois,David Gill,"Organizations
Justice Democrats[29]"
2018,House,Illinois,Matt Brolley,"Organizations
AFL-CIO
Citizen Action Illinois
Illinois Democratic County Chairs’ Association
Illinois Federation of Teachers
Sierra Club
Elected officials
Bill Foster, U.S. Representative from Illinois’s 11th congressional district (and former Representative from Illinois’s 14th congressional district)
Mark Pietrowski, DeKalb County Chair
Jan Schakowsky, U.S. Representative from Illinois’s 9th congressional district
Tom Weisner, former Mayor of Aurora, Illinois
Newspapers
Chicago Sun-Times"
2018,House,Illinois,Randy Hultgren (R),"U.S. Executive Branch officials
Donald Trump, 45th President of the United States[123]"
2018,House,Illinois,Lauren Underwood (D),"Former U.S. Executive Branch officials
Barack Obama, 44th President of the United States[103]
Joe Biden, 47th Vice President of the United States[124]
Newspapers
Chicago Sun-Times[125]"
2018,House,Iowa,Abby Finkenauer,"State legislators
Ako Abdul-Samad, state representative[11]
Liz Bennett, state representative[11]
Timi Brown-Powers, state representative[11]
Pam Jochum, State Senator and former President of the Iowa Senate[11]
Tyler Olson, former state representative[11]
Janet Petersen, state senator[11]
Kirsten Running-Marquardt, state representative[11]
Ras Smith, state representative[11]
Todd Taylor, state representative[11]
Individuals
Sue Dvorsky, former Iowa Democratic Party chair[11]"
2018,House,Iowa,Thomas Heckroth,"State legislators
Ro Foege, former state representative[12]
Brian Schoenjahn, former state senator[12]
Steve Sodders, former state senator[12]
Individuals
Brent Oleson, Linn County Supervisor[12][9]
Peggy Sherets, Oelwein Mayor[12]"
2018,House,Iowa,Courtney Rowe,"Organization
Justice Democrats"
2018,House,Iowa,Austin Frerick (withdrawn),"Ro Khanna, U.S. Representative (CA-17)[41]"
2018,House,Iowa,Pete D'Alessandro,"Marti Anderson, state representative[49]
Sue Dvorsky, former Iowa Democratic Committee Chairwoman[49]
Derek Eadon, former Iowa Democratic Committee Chairman[49]
Ben Jacobs, Bernie Sanders’s 2016 campaign manager[50]
Justice Democrats
Brian Meyer, state representative[49]
National Nurses United[51]
Our Revolution[52]
Bernie Sanders, U.S. Senator from Vermont[53][54]
The People for Bernie Sanders[55]"
2018,House,Iowa,J. D.Scholten,"Jeff Flake, U.S. Senator from Arizona (Republican)[67]"
2018,House,Kansas,Steve Fitzgerald,"Organizations
Kansans for Life[9]"
2018,House,Kansas,Dennis Pyle,"Organizations
Kansans for Life[9]"
2018,House,Kansas,Caryn Tyson,"Organizations
Kansans for Life[10]
Kansas Farm Bureau[11]
The Madison Project[12]
Maggie's List[13]
Susan B. Anthony List[14]"
2018,House,Kansas,Steve Watkins,"U.S. Presidents
Donald J. Trump, 45th President of the United States
U.S. Representatives
Roger Marshall (KS-01)[15]
Organizations
With Honor[16]"
2018,House,Kansas,Tom Niermann,"Individuals
Kay Barnes, former Mayor of Kansas City, MO
Barbara Bollier, Kansas State Senator (R-7)
Al Frisby, City Councilman - Merriam
Logan Heley, City Councilman - Overland Park
Jen Hill, City Councilwoman - Roeland Park
Carol Marinovich, former Mayor of Kansas City, KS[29]
Cindy Neighbor, Kansas State Representative (D-18)
Andrew Osman, City Councilman - Leawood
Brett Parker, Kansas State Representative (D-29)
Jim Slattery, former Congressman (D-KS-2)
Hillary Parker Thomas, City Councilwoman - Mission
Labor unions
United Brotherhood of Carpenters and Joiners of America St. Louis-Kansas City Regional Council
United Transportation Union (SMART-TD KS)
Groups
Mainstream Coalition"
2018,House,Kansas,Brent Welder,"Individuals
Bruce Braley, former Congressman (D-IA-1)[30]
Jason Kander, former Missouri Secretary of State, founder of Let America Vote, candidate for Mayor of Kansas City in 2019, and host of Majority 54[30]
Ro Khanna, US Representative (D-CA-17)[30]
Lee Kinch, former Kansas Democratic Party chairman
Nathaniel McLaughlin, former Wyandotte County NAACP President, candidate for Kansas Insurance Commissioner[30]
Killer Mike, rapper and social justice activist[30]
Wandra Minor, former Johnson County NAACP President[30]
Patrick Murphy, former congressman (D-FL-18)[30]
Alexandria Ocasio-Cortez, Democratic candidate for NY-14[30]
Mark Pocan, US Representative (D-WI-2)[30]
Angela Ramsey, former candidate for this seat[30]
Jamie Raskin, US Representative (D-MD-8)[30]
Bernie Sanders, United States Senator (I-VT)[30]
Alvin Sykes, civil rights activist
Cenk Uygur, journalist, activist, founder of Justice Democrats
Cornel West, author, academic, activist and honorary chair of the Democratic Socialists of America[31]
Shailene Woodley, actress and activist[30]
Labor unions
Brotherhood of Locomotive Engineers and Trainmen[30]
Brotherhood of Maintenance of Way Employees[30]
International Association of Bridge, Structural, Ornamental and Reinforcing Iron Workers Local 10[30]
International Association of Sheet Metal, Air, Rail and Transportation Workers-Transportation Division
International Brotherhood of Boilermakers[30]
International Brotherhood of Teamsters Joint Council 56[30]
International Union of Bricklayers and Allied Craftworkers Local 15[30]
International Union of Painters and Allied Trades DC 3[30]
Laborers International Union of North America[30]
National Nurses United[30]
Service Employees International Union MO/KS State Council[30]
Groups
Brand New Congress[30]
Congressional Progressive Caucus PAC[32]
Demand Universal Healthcare[33]
End Citizens United[34]
Justice Democrats[30]
Our Revolution[35]
The People for Bernie Sanders[30]
Political Revolution[30]
Progressive Change Campaign Committee[30]"
2018,House,Kansas,Sharice Davids (D),"Local and statewide politicians
Laura Kelly, state senator and 2018 nominee for governor[38]
Sollie Flora, Mission City Councilmember[39]
Chad Herring, Prairie Village City Councilmember[39]
Cindy Holscher, state representative[39]
Mike Kelly, Mayor of Roeland Park[39]
Jori Nelson, Prairie Village City Councilmember[39]
Heather Ousley, Shawnee Mission School District School Board At-Large Member[39]
Tucker Poling, Prairie Village City Councilmember[39]
Kathleen Sebelius, former Governor of Kansas and former United States Secretary of Health and Human Services[40]
Labor unions
Kansas State AFL-CIO[41]
Organizations
CHC BOLD PAC[42]
Democratic Congressional Campaign Committee[43]
EMILY's List[44]
End Citizens United[45]
Gay & Lesbian Victory Fund[46]
League of Conservation Voters Action Fund[47]
LPAC[48]
Run with Pride[49]
Newspapers and news websites
The Kansas City Star[50]"
2018,House,Kansas,Kevin Yoder (R),"Federal officials
Mike Pence, Vice President of the United States[51]
Donald Trump, President of the United States[52]"
2018,House,Kentucky,Andy Barr (R),"Federal officials
Donald Trump, President of the United States[18]"
2018,House,Maine,Chellie Pingree,"Local and statewide politicians
Christopher Babbidge, state representative[10]
Donna Bailey, state representative[10]
Pinny Beebe-Center, state representative[10]
Seth Berry, state representative[10]
Cathy Breen, state senator[10]
Jennie Butler, candidate for State House of Representatives[10]
Justin Chenette, state senator[10]
Ben Chipman, state senator[10]
Janice Cooper, state representative[10]
Diane Denk, member of the Democratic National Committee, candidate for State House of Representatives[10]
Dale Denno, state representative[10]
Dave Durrell, candidate for State House of Representatives[10]
Richard Farnsworth, state representative[10]
Ryan Fecteau, state representative[10]
Anne Gass, candidate for State House of Representatives[10]
Geoffrey Gratwick, state senator[10]
Henry Ingwersen, candidate for State House of Representatives[10]
Troy Jackson, state senator, Senate Minority Leader[11]
Erik Jorgensen, state representative[10]
Tori Kornfield, state representative[10]
William Lippincott, candidate for State Senate[10]
Thomas Longstaff, state representative[10]
Anne-Marie Mastraccio, state representative[10]
Chloe Maxmin, candidate for State House of Representatives[10]
Andrew McLean, state representative[10]
Jay McCreight, state representative[10]
Jeremy Mele, candidate for State House of Representatives[10]
Michele Meyer, candidate for State House of Representatives[10]
Rebecca Millett, state senator[10]
David Miramant, state senator[10]
Kimberly Monaghan, state representative[10]
Matt Moonen, state representative[10]
Victoria Morales, candidate for State House of Representatives[10]
Patricia Nobel, candidate for State House of Representatives[10]
Jennifer Parker, state representative[10]
Ann Peoples, former state representative, candidate for State House of Representatives[10]
Teresa Pierce, state representative[10]
Lois Galgay Reckitt, state representative[10]
Tina Riley, state representative[10]
Tiffany Roberts-Lovell, candidate for State House of Representatives[10]
Deane Rykerson, state representative[10]
Heather Sanborn, state representative, candidate for State Senate[10]
Linda Sanborn, former state representative, candidate for State Senate[10]
Robert Saucier, candidate for State House of Representatives[10]
Denise Tepler, state representative[10]
Maureen Terry, state representative[10]
Eloise Vitelli, state senator[10]
Charlotte Warren, state representative[10]
Organizations
Alliance for Retired Americans[10]
End Citizens United[12]
EqualityMaine[13][10]
Human Rights Campaign[10]
Planned Parenthood[10]
Sierra Club[10]
Trade Unions
AFL-CIO[10]
Laborers' International Union of North America[10]
Maine State Council of Machinists[10]
Maine State Employees Association[10]
Media
Bangor Daily News[14]
Kennebec Journal[15]
Portland Phoenix[16]
Portland Press Herald[17]"
2018,House,Maine,Mark Holbrook,"Individuals
Daniel Davey, former Knox County Sheriff[18]
Carly Fiorina, candidate for President of the United States in 2016 US presidential election, candidate for US Senate from California in 2010[18]
Paula G. Sutton, candidate for State House of Representatives[18]
Organizations
Christian Civic League of Maine[18]
Gun Owners of Maine[18]
National Right to Life Committee[18]
National Rifle Association[18]"
