index,metric,weight,rmse,next_lower,next_upper,pct_diff,search_suggestion
38,McLaughlin & Associates Offset,0,0.004580768889515736,-0.05,0.05000000000000002,0.2918281131821458,not final
39,Firehouse Strategies/Øptimus Offset,-0.1,0.004580768889515736,-0.19999999999999998,0,0,final
40,Rasmussen Reports/Pulse Opinion Research Offset,0,0.004580768889515736,-0.05,0.05000000000000002,0.08793741380373926,not final
41,Quinnipiac University Offset,-0.1,0.004264568820671841,-0.19999999999999998,0,0.2990208259448597,not final
42,CNN/SSRS Offset,-0.1,0.004264568820671841,-0.19999999999999998,0,0,final
43,NBC News/The Wall Street Journal Offset,-0.05,0.004232680568697001,-0.1,0,0.13130159799145674,not final
44,Marist College Offset,0,0.004232680568697001,-0.05,0.05000000000000002,0.16472048361190603,not final
45,Public Policy Polling Offset,0.1,0.004145197236801067,0,0.19999999999999998,0.056267045627810014,not final
46,GQR Research Offset,-0.05,0.004086068598913163,-0.1,0,0.08805802782393016,not final
47,ABC News/The Washington Post Offset,-0.1,0.004039427390779243,-0.19999999999999998,0,0.03514976937124898,not final
48,Øptimus Offset,0,0.004039427390779243,-0.05,0.05000000000000002,0.05142653545702161,not final
49,Monmouth University Offset,0.05000000000000002,0.004011049822630864,0,0.1,0.04315298588075795,not final
50,Fox News Offset,0.05000000000000002,0.003913891810135995,0,0.1,0.14853887982578692,not final
51,Pew Research Center Offset,-0.1,0.003913891810135995,-0.19999999999999998,0,0,final
52,Public Religion Research Institute Offset,0,0.003913891810135995,-0.05,0.05000000000000002,0.06604852922116007,not final
53,Harris Poll Offset,-0.1,0.003913891810135995,-0.19999999999999998,0,0,final
54,Emerson College Offset,-0.1,0.0039028103208653482,-0.19999999999999998,0,0.013228995459079745,not final
55,Suffolk University Offset,-0.1,0.0038914993513267447,-0.19999999999999998,0,0.013516216916838407,not final
56,SurveyMonkey Offset,0.05000000000000002,0.0037577800793797654,0,0.1,0.35066857247159305,not final
57,USC Dornsife/Los Angeles Times Offset,-0.1,0.0037577800793797654,-0.19999999999999998,0,0,final
58,IBD/TIPP Offset,-0.05,0.003756848954010576,-0.1,0,0.002872651286137821,final
59,Opinium Offset,-0.1,0.003756848954010576,-0.19999999999999998,0,0,final
60,Other Pollster Offset,0,0.003756848954010576,-0.05,0.05000000000000002,1.3998331095212713,not final
61,rv,1,0.003756848954010576,0.5,1.5,1.250900891280565,not final
62,lv,1,0.003756848954010576,0.5,1.5,0.16149698275891095,not final
63,a,0.75,0.003733200422913845,0.5,1,0.3962989718162994,not final
64,v,1,0.003733200422913845,0.5,1.5,9.96159167426279e-5,final
65,Online,1,0.003733200422913845,0.5,1.5,1.5972209474315011,not final
66,Live Phone,1,0.003733200422913845,0.5,1.5,0.15196748150509645,not final
67,Unknown,1,0.003733200422913845,0.5,1.5,0.03895924952580475,not final
68,IVR/Online,1,0.003733200422913845,0.5,1.5,0.03716004546174835,not final
69,Other Method,0.5,0.0037325013587306013,0.25,0.75,1.8727353534596911e-4,final
